Unnamed: 0,EG00023TCH,CL00139TCH,CL00010TCH,CL00016TCH,CL00031TCH,CL00032TCH,CL00006TCH,CL00011TCH,CL00020TCH,CL00021TCH,CL00028TCH,CL00034TCH,CL00036TCH,CL00140TCH,CB00008TCH,CB00051TCH,CL00143TCH,CL00142TCH,CB00075TCH,CL00144TCH,CL00145TCH,CB00082TCH,CB00086TCH,CB00087TCH,CB00095TCH,CB00102TCH,CB00106TCH,CB00110TCH,CB00109TCH,CB00113TCH,CB00114TCH,CB00111TCH,CB00112TCH,CB00128TCH,CB00130TCH,CB00131TCH,CB00132TCH,CB00134TCH,CB00133TCH,CB00135TCH,CB00136TCH,CB00138TCH,CB00140TCH,CB00141TCH,CB00142TCH,CB00143TCH,CB00146TCH,CB00147TCH,CB00148TCH,CB00149TCH,CB00150TCH,CB00151TCH,CB00152TCH,CB00153TCH,CB00165TCH,CB00163TCH,CB00162TCH,CB00161TCH,CB00160TCH,CB00159TCH,CB00158TCH,CB00157TCH,CB00156TCH,CB00155TCH,CB00154TCH,CB00164TCH,CB00181TCH,CB00180TCH,CB00179TCH,CB00178TCH,CB00177TCH,CB00176TCH,CB00175TCH,CB00174TCH,CB00173TCH,CB00172TCH,CB00171TCH,CB00170TCH,CB00169TCH,CB00168TCH,CB00167TCH,CB00166TCH,CB00183TCH,CB00182TCH
VERSION DE DECLARACION,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
01/02/2024 00:15,70.164828,0.0016358785,0.126691619,0.3331799963,1.3330340511,0.8059969383,0.0082735903,0.1299308567,0.0172268194,0.0290610868,0.0805425979,3.4904e-05,0.2678388684,0.0902053771,1.50105,0.03865758,0.0469715833,0.0940151711,0.2774574571,0.3904455628,0.0904974533,0.0305512338,0.03822299,0.0073837925,0,0.0579733194,0.0106436797,5.6262133351,0.0942617495,0,0,0,0,0.0523326578,0.0752770608,0.3591011457,0.102858545,0,3.375,0,0,0,0.093024607,0.256564921,0.009095298,0.008490312,0.3051007203,0.206732984,0.2928966915,0.1464483458,0.013798188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00428526,0.00304471,0.00457821,0.0048157952,0.5528198705,0,0.00463005,0.0039635725,3.9863111387,0.1555227375,0.01116163,0,0,0,0,0.11379387541091113,0.028448468852727782
01/02/2024 00:30,70.3256875,0.0015930614,0.1271073928,0.3258128636,1.3151389987,0.8000546243,0.0080953075,0.1266988301,0.0166621107,0.0241925797,0.0792088406,3.48942e-05,0.2648291267,0.0885311763,1.4028069833,0.04019568,0.0450089795,0.0920664504,0.2400160617,0.3846823358,0.0844321391,0.0305403187,0.0369379151,0.007460975,0,0.0546151088,0.0108049538,5.4170442171,0.0925784443,0,0,0,0,0.0517723749,0.0647072873,0.3594246603,0.100285795,0,3.375,0,0,0,0.099568943,0.2721701934,0.009320886,0.008162184,0.3048519285,0.2086021792,0.2926578514,0.1463289257,0.01367388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0040812,0.00283473,0.00447174,0.0049898598,0.5484760759,0,0.0042442125,0.0039503166,3.9509316027,0.1549953238,0.0111689788,0,0,0,0,0.1140482340021613,0.028512058500540324
01/02/2024 00:45,70.412164,0.0015714889,0.1274454444,0.3185185214,1.2914933958,0.7980191058,0.0080051055,0.1222092629,0.0158447122,0.0283009285,0.0775592088,3.48439e-05,0.2574490248,0.0865584695,1.3461490741,0.0379398,0.0431316435,0.0903895702,0.2629902458,0.3766103566,0.0787718334,0.0305403187,0.0436951385,0.007460975,0,0.0550275207,0.0108049538,5.6050740938,0.0943506102,0,0,0,0,0.0513000163,0.0658030443,0.3561895148,0.102138175,0,3.375,0,0,0,0.097781639,0.1874124883,0.009249108,0.008808186,0.30478892,0.2070068117,0.2925973632,0.1462986816,0.014357574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00428526,0.00283473,0.00457821,0.0049318386,0.5727454707,0,0.0041156,0.0039458977,3.9596321482,0.1549052775,0.011409993,0,0,0,0,0.11295175589598376,0.02823793897399594
01/02/2024 01:00,70.062008,0.0015447189,0.1276086982,0.3143750337,1.2683333592,0.7904676542,0.0077046916,0.1191496493,0.0165654801,0.027497766,0.0754059711,3.48351e-05,0.248217272,0.0850263741,1.4079043511,0.03855504,0.0403397038,0.0888454566,0.2604958844,0.3685621972,0.0762263301,0.0305512338,0.0486407221,0.0074352475,0,0.0560290922,0.0104017796,5.6320976315,0.0899083194,0,0,0,0,0.0520744974,0.0633164063,0.3633068348,0.10661476,0,3.375,0,0,0,0.0961810185,0.2165833569,0.00917733,0.008695392,0.3051905187,0.2103082677,0.292982898,0.146491449,0.013860342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00418323,0.00272974,0.00447174,0.0048157952,0.559042064,0,0.0039869875,0.0038575237,3.959983129,0.1531686713,0.0113467996,0,0,0,0,0.1137473030988297,0.028436825774707426
01/02/2024 01:15,70.196734,0.0015304939,0.1263261123,0.3133168055,1.2462792372,0.7787036663,0.0074446546,0.1180135161,0.0184955469,0.0267477899,0.0728840841,3.48929e-05,0.2352290354,0.0828989415,1.4541170265,0.03906774,0.0388111286,0.0866904107,0.2495176185,0.361435518,0.069955182,0.0305457762,0.0561343954,0.007563885,0,0.0344658454,0.0110468539,5.6874993582,0.0950100859,0,0,0,0,0.0523326578,0.063690503,0.3668654948,0.10002852,0,3.375,0,0,0,0.0917809105,0.2087318385,0.009238854,0.007659738,0.3053017068,0.2205022847,0.2930896385,0.1465448193,0.01367388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00387714,0.00262475,0.00436527,0.0046997518,0.5674643596,0,0.0039869875,0.0041157012,3.9487297774,0.1530143063,0.0111557525,0,0,0,0,0.11319952185920262,0.028299880464800656
01/02/2024 01:30,70.402297,0.0015279951,0.1256951304,0.3077066172,1.2253869239,0.7668646563,0.0071801492,0.1116171095,0.0176173457,0.0262764503,0.0722005551,3.48114e-05,0.2269547963,0.0810969758,1.3919061614,0.03804234,0.0368444969,0.085639556,0.2452284563,0.3550422817,0.0645060278,0.0305676063,0.0543784046,0.007460975,0,0.0332286099,0.0107243189,5.9484772444,0.0916371168,0,0,0,0,0.0520744974,0.0652734182,0.3629833203,0.099256695,0,3.375,0,0,0,0.093176451,0.197303683,0.009187584,0.007926342,0.3052015385,0.2376378597,0.2929934769,0.1464967385,0.01398465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00418323,0.00262475,0.00457821,0.0046997518,0.5740807699,0,0.0041156,0.0040753019,3.9170960235,0.15240971,0.0111454644,0,0,0,0,0.11209728622702922,0.028024321556757305
01/02/2024 01:45,70.55590625,0.0014799278,0.1234059998,0.2972039042,1.1988815206,0.7623115942,0.0067903695,0.1083324817,0.0168543288,0.0258167194,0.0691358272,3.49492e-05,0.2163814707,0.0791083352,1.3625366229,0.0405033,0.035500393,0.0847282274,0.2445013374,0.3423497176,0.0652617741,0.030594894,0.0559082261,0.007460975,0,0.0326983661,0.0104017796,6.1653645218,0.0954144968,0,0,0,0,0.0513439784,0.0640976361,0.3623362912,0.097404315,0,3.375,0,0,0,0.0874160465,0.1974565043,0.008890218,0.008285232,0.3049713099,0.2391689662,0.2927724575,0.1463862287,0.013580649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00397917,0.00272974,0.00457821,0.0047577741,0.5787193073,0,0.0039869875,0.0040753019,3.9218399512,0.1516764763,0.0111190117,0,0,0,0,0.11278229508053297,0.028195573770133243
01/02/2024 02:00,64.931527,0.0014886545,0.120662461,0.2936145778,1.1711005441,0.7478522381,0.006604671,0.1049132758,0.0174534469,0.0251114572,0.0679781441,3.37946e-05,0.2067843401,0.0768558837,1.50105,0.0379398,0.0343824096,0.0836765027,0.2610085182,0.3366753042,0.0627444072,0.0306167241,0.0590618669,0.0075381575,0,0.0410644346,0.0104017796,6.2530034874,0.0947561446,0,0,0,0,0.051816337,0.0649218305,0.3723652421,0.09086953,0,3.375,0,0,0,0.0853677675,0.1900979248,0.009310632,0.007834056,0.3046408652,0.2517824617,0.2924552306,0.1462276153,0.013798188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0040812,0.00251976,0.00468468,0.0047577741,0.5799419081,0,0.003858375,0.0040854025,3.8981885153,0.1522810725,0.0110572896,0,0,0,0,0.11001543537161583,0.027503858842903958
01/02/2024 02:15,53.803113,0.0014631261,0.1190324308,0.282108813,1.149683933,0.7443423148,0.0063828819,0.1022918331,0.0172235434,0.0243599614,0.0644313234,3.30582e-05,0.1972817695,0.0752659587,1.50105,0.04009314,0.0332600725,0.0808132338,0.230470977,0.3267978186,0.061341252,0.030605809,0.057732471,0.007460975,0,0.0476630238,0.0099986053,6.3044905291,0.0962533407,0,0,0,0,0.0513000163,0.0658583414,0.3707476694,0.092670455,0,3.375,0,0,0,0.0937637435,0.2299549678,0.009310632,0.008080152,0.3045338619,0.2718072707,0.2923525074,0.1461762537,0.013332033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00397917,0.00262475,0.00457821,0.0045837084,0.5769737651,0,0.0039869875,0.0040450021,3.9290113138,0.152358255,0.0109558853,0,0,0,0,0.11209781326707939,0.028024453316769848
