Unnamed: 0,EG00023TCH,EGT0040TCH,EGT0041TCH,EGT0042TCH,EGT0043TCH,EGT0044TCH,EGT0046TCH,EGT0047TCH,EGT0048TCH,EGT0049TCH,EGT0050TCH,EGT0051TCH,CL00139TCH,CL00010TCH,CL00016TCH,CL00031TCH,CL00032TCH,CL00006TCH,CL00011TCH,CL00020TCH,CL00021TCH,CL00028TCH,CL00034TCH,CL00036TCH,CL00140TCH,CB00006TCH,CB00007TCH,CB00008TCH,CB00051TCH,CL00143TCH,CL00142TCH,CB00071TCH,CB00075TCH,CL00144TCH,CB00080TCH,CB00081TCH,CL00145TCH,CB00082TCH,CB00083TCH,CB00085TCH,CB00086TCH,CB00087TCH,CB00092TCH,CB00089TCH,CB00093TCH,CB00095TCH,CB00102TCH,CB00105TCH,CB00106TCH,CB00107TCH,CB00110TCH,CB00109TCH,CB00113TCH,CB00114TCH,CB00111TCH,CB00112TCH,CB00128TCH,CB00130TCH,CB00131TCH,CB00132TCH,CB00134TCH,CB00133TCH,CB00135TCH,CB00136TCH,CL00150TCH,CL00151TCH,CL00152TCH,CL00155TCH,CL00153TCH,CL00158TCH,CL00154TCH,CL00156TCH,CL00157TCH,CL00160TCH,CL00159TCH,CL00161TCH,CL00171TCH,CL00164TCH,CL00170TCH,CL00168TCH,CL00167TCH,CL00165TCH,CL00173TCH,CL00162TCH,CL00166TCH,CL00174TCH,CL00163TCH,CL00169TCH,CL00172TCH,CL00177TCH,CL00176TCH,CL00180TCH,CL00181TCH,CL00179TCH,CL00178TCH,CB00137TCH
VERSION DE DECLARACION,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
11/08/2023 00:30,-0.21734985399999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005575325833504925,0.11323151829072181,0.01106514020607932,0.015116545887827555,0.056426285744320716,3.62371349051041e-05,0.1728636377540152,0,1.4029125,0,1.50105,0.12407857879999999,0,0,0.4795186129882813,0.18872823466407315,0,0.5298421604223656,0,0,0.12088846385365765,0.2407663702609681,0.0393458061087,0.212585275863,0.0041420796025,0.024815715759999996,0.014220861802800003,0.677604851537257,0,0.051845323707906656,0.036467999999999993,0.21902685370020006,0.0941918504197633,5.945188855115105,0.06740996928836597,0,0.3297095142606,0,0,0.05858293294604151,0.06651825661151999,0.22677922214765042,0.08273868324,0,1.1276558670385741,0,2.247344132961426,0.08113651862852363,0.013416767728339366,0.04521958536155365,0.23338240103755636,0.1447640726423201,0.9923008066894716,0.4087923900009506,0.1638106494497202,0,0.12813054909706711,0.05148883655478625,0.19110112496149503,0.12482099740141969,0.0660974702564941,0.0022936355970542485,0,0.7404829203274669,0.5349999999999999,0.13541124656101905,0,0.3717421113384533,0.05516511753805357,0.11465863961885428,0,0.007620397524527534,0.022875951813981173,0.02706803753166409,0.023224307267682442,0.031063820438053846,0.0017841792289810092,0.0002010333231758143,0.8148257068341883
11/08/2023 00:45,-0.21983248900000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005591389451388035,0.10474909304274534,0.011044283816659289,0.015668282413943763,0.05611407930614608,3.627577622105755e-05,0.17262771663193532,0,1.4029125,0,1.50105,0.11361906223999997,0,0,0.4813677064941406,0.17495925069816437,0,0.5209102563590671,0,0,0.12061163140551578,0.2429751381487759,0.036798235929,0.209598196626,0.004244988412499999,0.024405538639999995,0.014655560635200002,0.6876086612615757,0,0.05096159659924916,0.036467999999999993,0.22097087902890003,0.09192382119915248,5.924044295815859,0.06088616488198671,0,0.32986162269839997,0,0,0.05820930645644151,0.09230309667936,0.22225010786795413,0.08428231538999999,0,1.1278074306555177,0,2.2471925693444823,0.07675628455239036,0.013005342522554163,0.04466508242956011,0.22428146168087662,0.1407259478881347,0.9603839063557872,0.39458841064867,0.15890529403840323,0,0.12362767061165392,0.050727627370174506,0.19217998466910924,0.12049525772952646,0.06387071455608402,0.0023018144644341002,0,0.7090826549032537,0.518,0.13034135575807043,0,0.36180519942194733,0.05335254838613969,0.1120727416856303,0,0.007511140694076596,0.02212650565470878,0.026573535428074765,0.023920759054722986,0.0297572751280708,0.0017553560874905188,0.00019845111254900526,0.8148257068341883
11/08/2023 01:00,-0.215921448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005666646135890151,0.10206200598661998,0.010728861979170242,0.015728169625788484,0.054919100158316546,3.6291209038675064e-05,0.16558648546671273,0,1.4029125,0,1.50105,0.1343330068,0,0,0.4857708,0.19306123636393438,0,0.5234792762549043,0,0,0.12061957222415204,0.24322248720918999,0.043025629701599996,0.206778483206,0.004219261210000001,0.023995361519999998,0.015183409217400003,0.6806244549725817,0,0.049665463506551495,0.03342899999999999,0.22097087902890003,0.09017840658884707,5.850905620350558,0.06860842245039096,0,0.329834297085,0,0,0.05472212588684151,0.08489980782737999,0.22904377928749858,0.08531140348999999,0,1.0097867704479984,0,2.3652132295520016,0.07410648830870066,0.012785604589187873,0.0439249022473277,0.21757840412329763,0.1369475367042969,0.923055813577165,0.3914683851790977,0.15393504901972466,0,0.12237278581877091,0.05039624337772841,0.17406664910618772,0.11738608643127335,0.06115651038614323,0.0023039933506025147,0,0.6850959607683288,0.505,0.12933707468034464,0,0.3537161179435207,0.05294732401827405,0.10914262935942153,0,0.0074603018927436515,0.021555499057167905,0.026371231531888698,0.023910359213256783,0.029061696041838916,0.0017605317599563035,0.00019453501548709608,0.8148257068341883
11/08/2023 01:15,-0.215870529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00564609594505893,0.10064989010103208,0.010189588854138487,0.015149479580779885,0.054072272082270084,3.509707244109186e-05,0.16114020272861385,0,1.4029125,0,1.50105,0.12028444043999999,0,0,0.45662455324707035,0.2083305760088409,0,0.5276307806422543,0,0,0.12096785298681602,0.24280901631089757,0.043874819761500004,0.211523099547,0.004244988412499999,0.024302994359999996,0.026144029777200005,0.7445659519254254,0,0.03664521743899766,0.03342899999999999,0.2229149043576,0.09378021515505396,6.004279998106114,0.07081195639518288,0,0.32968632200119996,0,0,0.049399835431384265,0.06374857085477999,0.22516168133347317,0.08922193827,0,1.0154026389941415,0,2.3595973610058585,0.07041224024159264,0.012407003514420135,0.04296219522863055,0.21147469680708708,0.134658754889282,0.8962450631039544,0.37293905332797417,0.14865618933824937,0,0.1241648378101312,0.049820475579392565,0.16991196096959327,0.11516045305454019,0.05959775970738145,0.0022809861322576033,0,0.6640099357931984,0.495,0.12538434472744597,0,0.34290014053228435,0.05189471557124372,0.10645250223476142,0,0.007364785058293248,0.02102018037197334,0.025989875115791893,0.023530756858464855,0.028801683488726474,0.0017331363901805124,0.00019527979468291927,0.8148257068341881
11/08/2023 01:30,-0.219679077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005677843173943213,0.09979941198676155,0.010387697190863595,0.015593729418749487,0.053709193668975565,3.615334421677431e-05,0.15725568510441543,0,1.4029125,0,1.50105,0.12653964152,0,0,0.4248425610351563,0.20022642870814972,0,0.522664382594044,0,0,0.12158794245388631,0.24534324355062911,0.039628869462,0.211052679483,0.004244988412499999,0.0328141696,0.032136663681,0.7401112722623499,0,0.0348188480811055,0.015194999999999998,0.22226689591470003,0.09386698291239384,6.037326226178338,0.07062544728739122,0,0.32971336969959997,0,0,0.04936681286924151,0.07522323777486,0.22322063235646047,0.09601391973,0,0.9182751207397462,0,2.456724879260254,0.06770075109531172,0.012052228517726225,0.042264478126000725,0.2109340720628853,0.1333809442217536,0.8786039833696913,0.37373331478674165,0.145373586188846,0,0.12374353652186011,0.04965648175777898,0.1623812727720769,0.11377857605292147,0.05861711532251691,0.002286239411903376,0,0.6503153455356993,0.485,0.12220707980452036,0,0.333894099785963,0.05005712682449022,0.1049327464801835,0,0.006868690130435593,0.020449173774432467,0.02565938328303161,0.02326986153152709,0.02821337193984045,0.0017331363901805124,0.00018578986622001055,0.8148257068341881
11/08/2023 01:45,-0.21670051599999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0054410085337457965,0.09944219033092198,0.0101261762469472,0.015585997503371697,0.05269508159890828,3.616525542162238e-05,0.15191979162817099,0,1.4029125,0,1.50105,0.14325435915999998,0,0,0.4150045792236328,0.17795586366757812,0,0.5231435883291615,0,0,0.12225868917369498,0.24324213446045684,0.035382919162500005,0.207572193864,0.004347897222500001,0.03517268804,0.03160881509880001,0.7206917336747701,0,0.034583187518796826,0.015194999999999998,0.2229149043576,0.09469832397123129,5.934435371174531,0.06576216608882231,0,0.32977542155019995,0,0,0.04924227070604151,0.09447050547295198,0.2235441405192959,0.09817500473999997,0,1.0341260406774908,0,2.340873959322509,0.06621559995336516,0.011850459818791913,0.04144580104857295,0.20649455087485252,0.13072967327276025,0.8576091125127785,0.3597132661527605,0.14127380357466998,0,0.12087102925578767,0.04906014249578997,0.15996821687885782,0.1116875128286918,0.05861711532251691,0.00225882116983993,0,0.6355936008846679,0.478,0.12016297967127218,0,0.3285984290700063,0.047005161993104574,0.10288475911141688,0,0.007262412076629708,0.020056606738623122,0.025452146077550343,0.023171095492371594,0.029374082622208083,0.001698468308232972,0.00017925502940504558,0.8148257068341883
11/08/2023 02:00,-0.214505692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005485850163071138,0.09864346645642187,0.010703772335781939,0.01600547502476016,0.05282739828138051,3.6262760704247585e-05,0.15014702046250056,0,1.4029125,0,1.50105,0.12941088135999998,0,0,0.4158729142822266,0.17997233366040039,0,0.5317228921077496,0,0,0.12229540950576132,0.2428846377623881,0.035382919162500005,0.22310919271500002,0.004862441272500001,0.0533230256,0.031733014765200004,0.7013262437053647,0,0.046307300493652996,0.012155999999999998,0.20088261729900003,0.09151521238297515,5.9556106594310085,0.06722537907122442,0,0.3297480353008,0,0,0.04936681286924151,0.10013246858411999,0.22613220582197952,0.09848373117,0,1.2282188356518557,0,2.1467811643481443,0.06408704403135759,0.011566496800001463,0.040905395043251504,0.204204874253736,0.12777632380724194,0.8524452951430719,0.3564521361823285,0.13858153309683158,0,0.12037313777682336,0.04867953531516746,0.15799206386994394,0.11090276220232674,0.05702518127742001,0.0022712755680404646,0,0.6248109193673705,0.473,0.11871188764332256,0,0.32429640838457896,0.04655122845755154,0.10096478190282715,0,0.00728402775931428,0.019949543001584205,0.025521456303503,0.023050948436816585,0.028000609316963455,0.0017157800402737,0.0001784026285233743,0.8148257068341883
11/08/2023 02:15,-0.218860611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005452966203815318,0.09827152765440131,0.010971314782691829,0.015635694232609562,0.05278487040292261,3.623311328902028e-05,0.14732259792680222,0,1.4029125,0,1.50105,0.13002614703999998,0,0,0.4167821532470703,0.1921911374761612,0,0.5152631274421783,0,0,0.12131404613384916,0.2423657275565907,0.0342506657493,0.22084727884899996,0.004733805260000001,0.047580545919999995,0.03272661209640001,0.7254361500787379,0,0.053141456800604336,0.024311999999999997,0.213842786157,0.09049217711826577,5.977882516973159,0.05425540292344934,0,0.3298050290983999,0,0,0.04911772854284151,0.10706024206583999,0.2241911568449668,0.09580810210999997,0,1.1570052035876475,0,2.2179947964123525,0.06338898175254462,0.011352426399915534,0.04079813050672198,0.2025834676616027,0.126352752863932,0.8416697674256505,0.3484287958416132,0.13733945217567978,0,0.12352962477930352,0.04835385493976247,0.15135814822992918,0.11024953302537906,0.05702518127742001,0.0022810438041208016,0,0.6223547296294278,0.469,0.11642415345792453,0,0.32160887137813626,0.04539742282854421,0.10042221254838286,0,0.0072102233329883305,0.01984247926454529,0.025548928249953716,0.02313230234095815,0.02998808198264956,0.0017029300948414071,0.00017828250284662858,0.8148257068341882
11/08/2023 02:30,-0.218368179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005363475269859284,0.09689575264458268,0.01165342024415384,0.014861454203548174,0.05289151812649629,3.626991280467554e-05,0.14681866694575257,0,1.4029125,0,1.50105,0.14797139604,0,0,0.41534169350585937,0.21035869735924073,0,0.5003893885513361,0,0,0.12328273087330116,0.23718013763297274,0.0399119328153,0.207341468719,0.004425078829999999,0.042555876199999995,0.032012464014600006,0.7136351692877281,0,0.05166857828617515,0.03342899999999999,0.21449079459990006,0.09285302699328057,5.975879414277919,0.045575262807487034,0,0.32988678865959997,0,0,0.049275293268184264,0.09247906985688,0.21998555072810597,0.09652846377999998,0,1.0988996825244142,0,2.276100317475586,0.06282633696826077,0.011093435381443051,0.03987130655128398,0.2021817569565406,0.12502762565707573,0.8274276530968248,0.3441006259607434,0.13940499672336407,0,0.1227829534290275,0.047946882101284005,0.15157842124870746,0.10884028900596246,0.05527849996513283,0.0022545127938137376,0,0.6140447432464337,0.46499999999999997,0.11512325842901026,0,0.31814038909565895,0.04613367745906645,0.10089095971017577,0,0.007216432548586604,0.019699727615160072,0.025417061826562816,0.02324772883460662,0.026640672037777886,0.0016533596456216936,0.00017609621552985722,0.8148257068341882
11/08/2023 02:45,-0.21681341599999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005559778930798218,0.09652782084950716,0.012364283760868015,0.015138333379539098,0.048504506218996137,3.625533396623605e-05,0.145018904104529,0,1.4029125,0,1.50105,0.15771310264,0,0,0.4141668597412109,0.20441945709069825,0,0.5016956073354355,0,0,0.12287491778737042,0.23710589821693714,0.0450070731747,0.209626636135,0.004270715614999999,0.05434846839999999,0.03204351393120001,0.716234766812111,0,0.044245270573452164,0.036467999999999993,0.22097087902890003,0.09222952119915248,6.037698800928452,0.04229836264915465,0,0.329805676893,0,0,0.04924227070604151,0.071960868097776,0.21933853440243503,0.09447028757999999,0,1.1063310231628418,0,2.268668976837158,0.06185110555306609,0.011082020827098929,0.03945048951764113,0.1982745874357375,0.12467950801509904,0.8152682828995022,0.3422785506459285,0.13581588486865792,0,0.11979207057710643,0.04771296504020831,0.14843523000686185,0.10786651769268782,0.05577451538218141,0.0022664069216855216,0,0.6068117840920331,0.46199999999999997,0.11341020334465561,0,0.3147228253074708,0.04017235717666916,0.100927166158301,0,0.00714330483832358,0.01977110343985268,0.02544451572163134,0.023310100158210993,0.02624299689202077,0.0016533596456216936,0.00017048683784905703,0.8148257068341881
