Unnamed: 0,EG00023TCH,CL00139TCH,CL00010TCH,CL00016TCH,CL00031TCH,CL00032TCH,CL00006TCH,CL00011TCH,CL00020TCH,CL00021TCH,CL00028TCH,CL00034TCH,CL00036TCH,CL00140TCH,CB00006TCH,CB00007TCH,CB00008TCH,CB00051TCH,CL00143TCH,CL00142TCH,CB00071TCH,CB00075TCH,CL00144TCH,CB00080TCH,CB00081TCH,CL00145TCH,CB00082TCH,CB00083TCH,CB00085TCH,CB00086TCH,CB00087TCH,CB00092TCH,CB00089TCH,CB00093TCH,CB00095TCH,CB00102TCH,CB00105TCH,CB00106TCH,CB00107TCH,CB00110TCH,CB00109TCH,CB00113TCH,CB00114TCH,CB00111TCH,CB00112TCH,CB00117TCH,CB00125TCH,CB00126TCH,CB00122TCH,CB00118TCH,CB00127TCH,CB00116TCH,CB00120TCH,CB00121TCH,CB00124TCH,CB00115TCH,CB00119TCH,CB00123TCH,CB00128TCH,CB00130TCH,CB00131TCH,CB00132TCH,CB00134TCH,CB00133TCH,CB00135TCH,CB00136TCH
VERSION DE DECLARACION,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
01/04/2023 02:30,-0.273904541,0,0,0,0,0,0.0049418316,0.1336403113,0.0147509436,0.0181085306,0.0599515074,3.77697e-05,0.1076626351,0,1.4029125,0,1.5002657953,0.07148104,0,0,0.463305826,0.2026411549,0,0.2924632499,0,0,0.1557387272,0.1842177843,0.0685013315,0.2675490836,0.0059102,0.0264,0.024735144,0.4956785083,0,0.0404863985,0.03039,0.3302251025,0.1111729,5.6528906575,0.0865107481,0,0,0,0,0.2644430299,0,0.2590122574,0,0,0.1331742971,0,0.087664021,0,0,0,0,0,0.0802633288,0.1020997832,0.0933811621,0.1066893,0,0.0615214323,0,3.3134785677
01/04/2023 02:45,-0.275538086,0,0,0,0,0,0.0048809762,0.1323826565,0.0147096845,0.017752107,0.0604881005,3.77454e-05,0.1067550352,0,1.4029125,0,1.5188593429,0.07229448,0,0,0.464429561,0.1691968522,0,0.293403443,0,0,0.1696912155,0.2103590238,0.0594433042,0.2630003256,0.0062159,0.0459,0.031863252,0.491630431,0,0.039436319,0.036468,0.3395657554,0.1086254,5.6920394914,0.087393997,0,0,0,0,0.2638037194,0,0.2598154405,0,0,0.1329328945,0,0.0877342425,0,0,0,0,0,0.0799217354,0.1076683128,0.0946603561,0.1032247,0,0.0271682352,0,3.3478317648
01/04/2023 03:00,-0.273687439,0,0,0,0,0,0.0049298596,0.1316017235,0.0149829512,0.0175890641,0.0606121878,3.77978e-05,0.1047604295,0,1.4029125,0,1.5321835867,0.0716844,0,0,0.442730787,0.206721493,0,0.2934911116,0,0,0.1804128672,0.2082434133,0.0634061911,0.2874469858,0.00636875,0.0555,0.041946174,0.5260919551,0,0.0403113853,0.039507,0.3403205556,0.1113767,5.8656012709,0.0838181383,0,0,0,0,0.2590293407,0,0.2626374493,0,0,0.1335344727,0,0.0890865347,0,0,0,0,0,0.0793107554,0.1078200861,0.0917821696,0.1006772,0,0.0361866033,0,3.3388133967
01/04/2023 03:15,-0.278168732,0,0,0,0,0,0.0049330881,0.1317955057,0.0151720221,0.0177213264,0.0603011943,3.78279e-05,0.1030234779,0,1.4029125,0,1.5636296053,0.07280288,0,0,0.451046626,0.1836970935,0,0.292304077,0,0,0.1888780009,0.2029989475,0.0685013315,0.2935362897,0.0062159,0.0524,0.04081908,0.5664765413,0,0.0396113323,0.039507,0.3236206005,0.1093387,5.8835596022,0.0800924767,0,0,0,0,0.2600623694,0,0.2622512757,0,0,0.1330148987,0,0.0890068871,0,0,0,0,0,0.0785201843,0.1141998076,0.0927415651,0.1027152,0,0,0,3.375
01/04/2023 03:30,-0.272387726,0,0,0,0,0,0.0049655726,0.1313790941,0.0141369345,0.0176463931,0.061013563,3.77826e-05,0.1033920811,0,1.4029125,0,1.4842544427,0.06934576,0,0,0.4508218727,0.2000163623,0,0.2869325113,0,0,0.1876704052,0.2001007333,0.0668029514,0.2881105804,0.0060121,0.0511,0.037529184,0.64810851,0,0.0390862925,0.036468,0.3289985521,0.1096444,5.9251461905,0.0762675392,0,0,0,0,0.2591200836,0,0.2629671122,0,0,0.1333063133,0,0.0889424334,0,0,0,0,0,0.0781535963,0.1272823936,0.0930613636,0.1033266,0,0.0057387854,0,3.3692612146
01/04/2023 03:45,-0.273551483,0,0,0,0,0,0.0049800833,0.1321941963,0.0140800093,0.0178090624,0.0619447122,3.78248e-05,0.102993479,0,1.4029125,0,1.4510779165,0.0691424,0,0,0.452813974,0.2208725725,0,0.28272335,0,0,0.1879774995,0.2012714655,0.0645384446,0.2965329481,0.00596115,0.0429,0.037102716,0.694699596,0,0.0392613058,0.042546,0.3226771002,0.1087273,5.9414530827,0.0814669911,0,0,0,0,0.2548466046,0,0.2656546365,0,0,0.1340670315,0,0.0897982454,0,0,0,0,0,0.0772982243,0.1287861981,0.0921019681,0.1012886,0,0.1962900794,0,3.1787099206
01/04/2023 04:00,-0.270819427,0,0,0,0,0,0.0051021559,0.1317628203,0.0140975149,0.0178050391,0.0631721634,3.78202e-05,0.1030296582,0,1.4029125,0,1.52508375,0.0701592,0,0,0.4600162727,0.1964683497,0,0.2882371881,0,0,0.1883907701,0.2009498359,0.0597263675,0.3008185686,0.00616495,0.0497,0.030431538,0.8479144863,0,0.0381528885,0.039507,0.318903099,0.1115805,5.9159024614,0.0858056676,0,0,0,0,0.2582058768,0,0.2643282258,0,0,0.132905368,0,0.0888755132,0,0,0,0,0,0.0730287702,0.1255459787,0.0930613636,0.1027152,0,0.2219849553,0,3.1530150447
01/04/2023 04:15,-0.271679077,0,0,0,0,0,0.0050338867,0.1333435804,0.0149122735,0.0176545416,0.0641103137,3.77884e-05,0.1035962281,0,1.4029125,0,1.4153088891,0.06904072,0,0,0.4595667662,0.1624365236,0,0.2791799533,0,0,0.2130870598,0.1990886035,0.0551973539,0.3108246691,0.0058083,0.051,0.038016576,0.871195076,0,0.0383279018,0.036468,0.299655693,0.1101539,5.724773861,0.0846909864,0,0,0,0,0.2556717545,0,0.2653912451,0,0,0.1336362213,0,0.0895883461,0,0,0,0,0,0.0719864013,0.1183072963,0.0927415651,0.1032247,0,0.2751205464,0,3.0998794536
01/04/2023 04:30,-0.27174408,0,0,0,0,0,0.0051028145,0.1344932749,0.0148662278,0.0179332804,0.0654972542,3.78275e-05,0.1050332565,0,1.4029125,0,1.3576312915,0.0671088,0,0,0.4619675325,0.1798131978,0,0.2807728984,0,0,0.2399286959,0.1984066707,0.0563296073,0.3136872803,0.005579025,0.064,0.038321196,0.8705714657,0,0.037102809,0.036468,0.2806913371,0.1122938,5.801436277,0.0784801612,0,0,0,0,0.255274457,0,0.2656381038,0,0,0.1340587903,0,0.0893165144,0,0,0,0,0,0.0711884243,0.1185403874,0.0924217666,0.1075045,0,0.344890926,0,3.030109074
01/04/2023 04:45,-0.272381439,0,0,0,0,0,0.0051819874,0.1347255106,0.0146612441,0.0182683138,0.0671945874,3.78856e-05,0.1076194687,0,1.4029125,0,1.3933917704,0.068634,0,0,0.468005161,0.1914128434,0,0.3031150107,0,0,0.2503748451,0.1974702693,0.0571787974,0.2954491231,0.00575735,0.063,0.039113208,0.9802036976,0,0.036402756,0.033429,0.2827670378,0.1122938,5.7283188714,0.0823589575,0,0,0,0,0.2556871369,0,0.2659784829,0,0,0.1341577532,0,0.0884551568,0,0,0,0,0,0.0706422453,0.1221343661,0.0946603561,0.1061798,0,0.2748861975,0,3.1001138025
