Unnamed: 0,EG00023TCH,CL00010TCH,CL00016TCH,CL00031TCH,CL00032TCH,CL00006TCH,CL00011TCH,CL00020TCH,CL00021TCH,CL00028TCH,CL00034TCH,CL00036TCH,CL00140TCH,CB00008TCH,CB00051TCH,CL00143TCH,CL00142TCH,CB00075TCH,CL00144TCH,CL00145TCH,CB00082TCH,CB00086TCH,CB00087TCH,CB00095TCH,CB00102TCH,CB00106TCH,CB00113TCH,CB00114TCH,CB00111TCH,CB00112TCH,CB00128TCH,CB00130TCH,CB00131TCH,CB00132TCH,CB00134TCH,CB00133TCH,CB00135TCH,CB00136TCH,CB00138TCH,CB00140TCH,CB00141TCH,CB00142TCH,CB00143TCH,CB00144TCH,CB00145TCH,CB00146TCH,CB00147TCH,CB00148TCH,CB00149TCH,CB00150TCH,CB00151TCH,CL00139TCH
VERSION DE DECLARACION,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
01/01/2024 02:30,-0.238253342,0.1326478379,0.352245179,0.7602757093,0.4137664625,0.00510781,0.1130368112,0.0160992799,0.0175318394,0.0537493023,3.2267e-05,0.1371154227,0.0421562705,1.50105,0.05260302,0.0079956575,0.0314592619,0.2021571131,0.1058351649,0,0.0243793826,0.2779249611,0.001080555,0,0.0121956068,0.2681732081,0,0,0,0,0.051816337,0.0546504405,0.1624043019,0.042964925,0,3.375,0,0,0,0.0425605,0.0251207,0.0107,0.0321,6.3783296652,0.0923802533,0.152371141,0.7313814766,0.1462762953,0.0731381477,0.033345621,0.1584659866,0.0011593492
01/01/2024 02:45,-0.234840591,0.1349170729,0.3769696336,0.7505561089,0.384730624,0.005117925,0.1128361452,0.0162479007,0.0176600829,0.0540747941,3.22369e-05,0.1367648087,0.0413688444,1.50105,0.05003952,0.0049288337,0.0295649255,0.1990598261,0.1029213739,0,0.0251305669,0.286488463,0.0010291,0,0.0125491027,0.2764362362,0,0,0,0,0.0515581767,0.0462216806,0.1643453892,0.04373675,0,3.375,0,0,0,0.045123,0.02641595,0.01245,0.03735,6.3456296091,0.0816003998,0.1570660433,0.7539170078,0.1507834016,0.0753917008,0.030517614,0.163348685,0.0011719902
01/01/2024 03:00,-0.230892258,0.1367377534,0.3766768762,0.7385438234,0.3759052285,0.0050954975,0.1122158942,0.0157541164,0.017191645,0.0532521323,3.22599e-05,0.1351687848,0.0412037532,1.50105,0.05055222,0.0020810845,0.0295672225,0.2043339008,0.099532737,0,0.024594395,0.2803761032,0.0010548275,0,0.0126080187,0.2705383452,0,0,0,0,0.0578138881,0.050063968,0.1776094856,0.04476585,0,3.375,0,0,0,0.0454275,0.02622785,0.01205,0.03615,6.3659726659,0.0861196576,0.1537149689,0.7378318505,0.1475663701,0.0737831851,0.032972697,0.1598635676,0.0011425548
01/01/2024 03:15,-0.226188583,0.1365072191,0.3718984877,0.7326946274,0.3734540102,0.0050892567,0.11275697,0.0158924437,0.0175205736,0.0545177645,3.23338e-05,0.1338015647,0.0411594191,1.50105,0.0481938,0.00157682,0.0297678579,0.1888848072,0.0988758439,0,0.024651273,0.281024512,0.001080555,0,0.0125491027,0.2711640028,0,0,0,0,0.065310827,0.0483116302,0.1853738347,0.042656195,0,3.375,0,0,0,0.0447145,0.0262669,0.0122,0.0366,6.359386287,0.0909725766,0.1540704561,0.7395381894,0.1479076379,0.0739538189,0.031543155,0.1602332744,0.0011547645
01/01/2024 03:30,-0.226816696,0.1331531384,0.3640615452,0.7271897295,0.3802255714,0.0051261147,0.1132150307,0.0156079527,0.0172774664,0.0551078895,3.21939e-05,0.1338251669,0.0410771718,1.50105,0.05567922,0.0048948054,0.0288174413,0.2014088895,0.0966889413,0,0.0250400377,0.2854564297,0.0010548275,0,0.0123134388,0.2754404146,0,0,0,0,0.0643221477,0.0561568345,0.1818151747,0.04692696,0,3.375,0,0,0,0.046605,0.02768095,0.0136,0.0408,6.2719118835,0.0948388349,0.1565002356,0.7512011307,0.1502402261,0.0751201131,0.033190236,0.162760245,0.0011684909
01/01/2024 03:45,-0.222397919,0.1360978941,0.3695580513,0.7237676475,0.3725520157,0.0051761825,0.1134533677,0.0159145574,0.0172836568,0.0558100806,3.22846e-05,0.1342453956,0.0416583312,1.50105,0.05783256,0.0017930944,0.0290693107,0.1900631782,0.093637104,0,0.0245952199,0.2803855071,0.001080555,0,0.0122545228,0.2705474191,0,0,0,0,0.0603842672,0.058667298,0.1811681456,0.047698785,0,3.375,0,0,0,0.044427,0.02586595,0.01195,0.03585,6.369438247,0.0889505456,0.1537201245,0.7378565976,0.1475713195,0.0737856598,0.03200931,0.1598689295,0.0011495384
01/01/2024 04:00,-0.227263885,0.1362924495,0.3661567724,0.7241659476,0.3719621578,0.0052266946,0.1147082932,0.0156702226,0.0169812314,0.0562779373,3.22297e-05,0.1341007064,0.0418481699,1.50105,0.06234432,0,0.0242007698,0.205025877,0.0957514941,0,0.0248080451,0.2828117144,0.001080555,0,0.0125491027,0.2728884963,0,0,0,0,0.0507453458,0.0671909575,0.1818151747,0.0432222,0,3.375,0,0,0,0.0429565,0.0252219,0.01125,0.03375,6.2700012988,0.0941351495,0.155050282,0.7442413536,0.1488482707,0.0744241354,0.037105938,0.1612522933,0.0011547101
01/01/2024 04:15,-0.225098557,0.1391935383,0.3692922426,0.7253251161,0.3719715532,0.0053559026,0.1151633619,0.0179283972,0.0178776056,0.0585573049,3.22303e-05,0.1362055564,0.0418859071,1.50105,0.05455128,0.002562963,0.0233326639,0.1824248712,0.0969700879,0,0.0285718804,0.325719436,0.0010291,0,0.0126080187,0.3142906839,0,0,0,0,0.0499708647,0.067654846,0.1814916601,0.04579495,0,3.375,0,0,0,0.0462225,0.02617285,0.012,0.036,6.1819898868,0.0845533352,0.1785742522,0.8571564107,0.1714312821,0.0857156411,0.032817312,0.1857172223,0.001147022
01/01/2024 04:30,-0.22708606,0.1383670239,0.3674422163,0.7233376931,0.3748353003,0.0053761178,0.1152033158,0,0.0177151086,0.0603451452,3.22746e-05,0.1404340609,0.0424039505,1.50105,0.04696332,0.0006907633,0.0257511804,0.2090971314,0.0989399812,0,0.0291246458,0.3320209618,0.002624205,0,0.0122545228,0.3203711035,0,0,0,0,0.0499708647,0.0525807731,0.1834327474,0.043479475,0,3.375,0,0,0,0.042948,0.02565475,0.0113,0.0339,6.1367126484,0.068647328,0.1820290361,0.8737393731,0.1747478746,0.0873739373,0.03511701,0.1893101975,0.0011769225
01/01/2024 04:45,-0.222472,0.1387971794,0.368171436,0.7281881609,0.3704478297,0.0053955694,0.1160096529,0,0.0184459703,0.0614396893,3.23033e-05,0.1442710111,0.0424634498,1.50105,0.05814018,0.0034246356,0.0262213178,0.1764189823,0.0989604462,0,0.0294656215,0.3359080854,0.0024955675,0,0.0129025985,0.3241218368,0,0,0,0,0.0497566664,0.0507935701,0.1853738347,0.04250183,0,3.375,0,0,0,0.044216,0.0258269,0.0118,0.0354,6.1098779754,0.1015956197,0.1841601346,0.8839686459,0.1767937292,0.0883968646,0.033532083,0.1915265399,0.0011858031
