,EMPRESA,BARRA TRANSFERENCIA,CODIGO,ENTREGA/RETIRO,CENTRAL/CLIENTE
3528,FENIX POWER PERÚ,SANTA ROSA 220,CB00305FPP,Retiro,GASOCENTRO & AUTOSERVICIOS REAL S.A.C.
3529,FENIX POWER PERÚ,SAN JUAN 220,CB00339FPP,Retiro,LUZ DEL SUR
3530,FENIX POWER PERÚ,SOCABAYA 138,CB00341FPP,Retiro,LUZ DEL SUR
3531,FENIX POWER PERÚ,SAN JUAN 220,CB00306FPP,Retiro,GOLDEN GAMING S.A.
3532,FENIX POWER PERÚ,SAN JUAN 220,CB00308FPP,Retiro,GRUPORPP SOCIEDAD ANONIMA CERRADA
3533,FENIX POWER PERÚ,CARAPONGO 220,CB00333FPP,Retiro,LUZ DEL SUR
3534,FENIX POWER PERÚ,INDUSTRIALES 220,CB00307FPP,Retiro,GRUPORPP SOCIEDAD ANONIMA CERRADA
3535,FENIX POWER PERÚ,CHICLAYO 220,CB00334FPP,Retiro,LUZ DEL SUR
3536,FENIX POWER PERÚ,INDUSTRIALES 220,CB00311FPP,Retiro,HERSIL S.A. LAB. IND.FARMAC.
3537,FENIX POWER PERÚ,INDUSTRIALES 220,CB00312FPP,Retiro,HITACHI RAIL STS S.P.A. SUCURSAL DEL PERU
3538,FENIX POWER PERÚ,CHIMBOTE1 220,CB00335FPP,Retiro,LUZ DEL SUR
3539,FENIX POWER PERÚ,INDUSTRIALES 220,CB00313FPP,Retiro,HOTELERA COSTA DEL PACIFICO
3540,FENIX POWER PERÚ,PIURA OESTE 220,CB00337FPP,Retiro,LUZ DEL SUR
3541,FENIX POWER PERÚ,CHAVARRIA 220,CB00343FPP,Retiro,MAGENSA MATERIALES GENERALES S.A.C.
3542,FENIX POWER PERÚ,SAN JUAN 220,CB00344FPP,Retiro,METROCOLOR
3543,FENIX POWER PERÚ,SAN JUAN 220,CB00316FPP,Retiro,INDUSTRIAS TEXTILES ENZO S.A
3544,FENIX POWER PERÚ,SAN JUAN 220,CB00346FPP,Retiro,NEWPORT CAPITAL S.A.C.
3545,FENIX POWER PERÚ,ALTO PRADERAS 220kV,CB00318FPP,Retiro,INMOBIDEAS S.A.C.
3546,FENIX POWER PERÚ,INDUSTRIALES 220,CB00320FPP,Retiro,INMOBIDEAS S.A.C.
3547,FENIX POWER PERÚ,SAN JUAN 220,CB00321FPP,Retiro,INMOBIDEAS S.A.C.
3548,FENIX POWER PERÚ,INDEPENDENCIA 220,CB00319FPP,Retiro,INMOBIDEAS S.A.C.
3549,FENIX POWER PERÚ,SANTA ROSA 220,CB00322FPP,Retiro,ITAL GRES INDUSTRIAL S.A.C.
3550,FENIX POWER PERÚ,ALTO PRADERAS 220kV,CB00323FPP,Retiro,JR TEXTILES S.A.C.
3551,FENIX POWER PERÚ,SAN JUAN 220,CB00324FPP,Retiro,JUNTA DE PROPIETARIOS DE EDIFICIO WIESE
3552,FENIX POWER PERÚ,SANTA ROSA 220,CB00325FPP,Retiro,KURESA S A
3553,FENIX POWER PERÚ,INDUSTRIALES 220,CB00326FPP,Retiro,LA POSITIVA SEGUROS Y REASEGUROS
3554,FENIX POWER PERÚ,INDUSTRIALES 220,CB00347FPP,Retiro,NORTHING S.A.C.
3555,FENIX POWER PERÚ,INDUSTRIALES 220,CB00348FPP,Retiro,PACIFICO COMPAÑIA DE SEGUROS Y REASEGUROS
3556,FENIX POWER PERÚ,INDUSTRIALES 220,CB00352FPP,Retiro,PROFUTURO AFP
3557,FENIX POWER PERÚ,INDUSTRIALES 220,CB00353FPP,Retiro,QUAD/GRAPHICS PERU S.A.
3558,FENIX POWER PERÚ,SANTA ROSA 220,CB00354FPP,Retiro,REAL PLAZA S.R.L.
3559,FENIX POWER PERÚ,SAN JUAN 220,CB00355FPP,Retiro,REENCAUCHADORA EL SOL S.A.C.
3560,FENIX POWER PERÚ,SANTA ROSA 220,CB00356FPP,Retiro,REPRESENTACIONES DERCO INDUSTRIAL EIRL
3561,FENIX POWER PERÚ,SAN JUAN 220,CB00357FPP,Retiro,REPSOL COMERCIAL SAC
3562,FENIX POWER PERÚ,CARAPONGO 220,CB00358FPP,Retiro,RINTI S A
3563,FENIX POWER PERÚ,INDUSTRIALES 220,CB00359FPP,Retiro,SCOTIABANK PERU S.A.A.
3564,FENIX POWER PERÚ,SANTA ROSA 220,CB00360FPP,Retiro,SCOTIABANK PERU S.A.A.
3565,FENIX POWER PERÚ,SANTA ROSA 220,CB00361FPP,Retiro,"SERVICIOS,COBRANZAS E INVERSIONES S.A.C."
3566,FENIX POWER PERÚ,INDUSTRIALES 220,CB00363FPP,Retiro,SOCIEDAD DE DESARROLLO DE HOTELES PERUANOS S.A.
3567,FENIX POWER PERÚ,ALTO PRADERAS 220kV,CB00364FPP,Retiro,SOLDEX SA
