,Contrato,Usuario Libre,Suministrador,Fecha de Suscripción,Fecha de Finalización,Precio Base,Precio FP,Rango de duración,Potencia_HP,Potencia_HFP,BRG,Precio de Potencia,Consistencia,Link,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
4570,,T & T FRUITS S.A.,Kallpa,2021-01-05 00:00:00,2024-12-31 00:00:00,25,25,3.989041095890411,0.59,0.59,,,0,,,,,
4571,,OVOSUR S.A,Kallpa,2021-01-05 00:00:00,2023-12-31 00:00:00,25,25,2.9863013698630136,0.21,0.21,,,0,,,,,
4572,,OVOSUR S.A,Kallpa,2021-01-06 00:00:00,2023-12-31 00:00:00,25,25,2.9835616438356163,0.4,0.4,,,0,,,,,
4573,,PISOPAK PERU S.A.C.,Kallpa,2021-01-07 00:00:00,2023-12-31 00:00:00,17,17,2.9808219178082194,0.9,0.9,,,0,,,,,
4574,,PISOPAK PERU S.A.C.,Kallpa,2021-01-07 00:00:00,2023-12-31 00:00:00,17,17,2.9808219178082194,0.5,0.5,,,0,,,,,
4575,,NEXA RESOURCES CAJAMARQUILLA S.A.,Kallpa,2021-01-07 00:00:00,2023-06-30 00:00:00,28,28,2.4767123287671233,120,0,,,0,,,,,
4576,,GREAT PANTHER CORICANCHA S.A.,Kallpa,2021-01-07 00:00:00,2024-12-31 00:00:00,29.3,29.3,3.9835616438356163,2,2,,,0,,,,,
4577,,ILKO PERU S.A.C.,Kallpa,2021-01-07 00:00:00,2024-12-31 00:00:00,29.5,29.5,3.9835616438356163,0.9,0.9,,,0,,,,,
4578,,TERPEL PERU S.A.C.,Kallpa,2021-01-07 00:00:00,2024-12-31 00:00:00,30,30,3.9835616438356163,0.2,0.2,,,0,,,,,
4579,,TERPEL PERU S.A.C.,Kallpa,2021-01-07 00:00:00,2024-12-31 00:00:00,30,30,3.9835616438356163,0.32,0.32,,,0,,,,,
4580,,PGN GASUR S.A.C.,Kallpa,2021-01-07 00:00:00,2024-12-31 00:00:00,30,30,3.9835616438356163,0.76,0.76,,,0,,,,,
4581,,INVERSIONES TORRECIUDAD S.A.C.,Kallpa,2021-01-07 00:00:00,2024-12-31 00:00:00,30,30,3.9835616438356163,0.2,0.2,,,0,,,,,
4582,,OPERACIONES INMOBILIARIAS Y PORTUARIAS S.A.C.,Kallpa,2021-01-07 00:00:00,2024-12-31 00:00:00,30,30,3.9835616438356163,0.25,0.25,,,0,,,,,
4583,,TERPEL COMERCIAL DEL PERU S.R.L.,Kallpa,2021-01-07 00:00:00,2024-12-31 00:00:00,30,30,3.9835616438356163,0.4,0.4,,,0,,,,,
4584,,CLARIANT (PERU) S.A.,Kallpa,2021-01-08 00:00:00,2024-07-31 00:00:00,20.5,20.5,3.5616438356164384,0.6,0.6,,,0,,,,,
4585,,CORPORACION ACEROS AREQUIPA S.A.,Kallpa,2021-01-07 00:00:00,2025-08-31 00:00:00,16,16,4.64931506849315,50,50,,,0,,,,,
4586,,GRUPO PROFITEX S.A.C,Kallpa,2021-01-09 00:00:00,2023-03-31 00:00:00,28.4,28.4,2.221917808219178,1.2,1.2,,,0,,,,,
4587,,GRUPO PROFITEX S.A.C,Kallpa,2021-01-09 00:00:00,2023-03-31 00:00:00,28.4,28.4,2.221917808219178,0.99,0.99,,,0,,,,,
4588,,CARTONES DEL PACIFICO SOCIEDAD ANONIMA CERRADA,Kallpa,2021-01-09 00:00:00,2024-12-31 00:00:00,29,29,3.978082191780822,1,1,,,0,,,,,
4589,,LANGOSTINERA LA BOCANA S.A.C.,Kallpa,2021-01-10 00:00:00,2024-12-31 00:00:00,28,28,3.9753424657534246,0.8,0.8,,,0,,,,,
4590,,IMPORTADORA TECNICA INDUSTRIAL Y COMERCI AL SA,Kallpa,2021-01-11 00:00:00,2024-12-31 00:00:00,29.3,29.3,3.9726027397260273,0.4,0.4,,,0,,,,,
4591,,STROBBE HNOS SRL,Kallpa,2021-01-11 00:00:00,2024-12-31 00:00:00,22.5,22.5,3.9726027397260273,0.6,0.6,,,0,,,,,
4592,,AGROALTO S.A.C.,Kallpa,2021-01-11 00:00:00,2024-12-31 00:00:00,19.25,19.25,3.9726027397260273,0.42,0.42,,,0,,,,,
4593,,MOTORES DIESEL ANDINOS S.A.,Kallpa,2021-01-12 00:00:00,2023-12-31 00:00:00,26.8,26.8,2.967123287671233,1.2,1.2,,,0,,,,,
4594,,MOTORES DIESEL ANDINOS S.A.,Kallpa,2021-01-12 00:00:00,2023-12-31 00:00:00,26.8,26.8,2.967123287671233,0.45,0.45,,,0,,,,,
4595,,ECO - ACUICOLA SOCIEDAD ANONIMA CERRADA,Kallpa,2022-01-01 00:00:00,2024-12-31 00:00:00,29.5,29.5,3.0,14.5,14.5,,,0,,,,,
4596,,EL ROCIO S.A.,Kallpa,2022-01-01 00:00:00,2025-12-31 00:00:00,28.5,28.5,4.0,1.43,1.43,,,0,,,,,
4597,,FITESA PERU S.A.C.,Kallpa,2022-01-01 00:00:00,2023-12-31 00:00:00,26.5,26.5,1.9972602739726026,3.5,3.5,,,0,,,,,
4598,, INVERSIONES COMINDUSTRIA S.A.C.,Kallpa,2022-01-01 00:00:00,2024-12-31 00:00:00,29,29,3.0,0.8,0.8,,,0,,,,,
4599,,JAYANCA FRUITS S.A.C.,Kallpa,2022-01-01 00:00:00,2024-12-31 00:00:00,29.5,29.5,3.0,1.2,1.2,,,0,,,,,
4600,,LATERCER S.A.C,Kallpa,2022-01-01 00:00:00,2024-12-31 00:00:00,28.7,28.7,3.0,1.5,1.5,,,0,,,,,
4601,,LATERCER S.A.C,Kallpa,2022-01-01 00:00:00,2024-12-31 00:00:00,28.7,28.7,3.0,0.05,0.36,,,0,,,,,
4602,,LATERCER S.A.C,Kallpa,2022-01-01 00:00:00,2024-12-31 00:00:00,28.7,28.7,3.0,0.1,0.38,,,0,,,,,
4603,,LATERCER S.A.C,Kallpa,2022-01-01 00:00:00,2024-12-31 00:00:00,28.7,28.7,3.0,0.5,0.5,,,0,,,,,
4604,,QUIMICA SUIZA S.A.C.,Kallpa,2022-01-01 00:00:00,2024-12-31 00:00:00,26,26,3.0,0.95,0.95,,,0,,,,,
4605,,REAL PLAZA S.R.L.,Kallpa,2022-01-01 00:00:00,2024-12-31 00:00:00,25,25,3.0,4,4,,,0,,,,,
4606,,TIENDAS PERUANAS SA,Kallpa,2022-01-01 00:00:00,2024-12-31 00:00:00,25,25,3.0,0.9,0.9,,,0,,,,,
4607,,HOMECENTERS PERUANOS S.A.,Kallpa,2022-01-01 00:00:00,2024-12-31 00:00:00,25,25,3.0,0.304,0.304,,,0,,,,,
4608,,SUPERMERCADOS PERUANOS SOCIEDAD ANONIMA 'O ' S.P.S.A.,Kallpa,2022-01-01 00:00:00,2024-12-31 00:00:00,25,25,3.0,0.5,0.5,,,0,,,,,
4609,,SUPERMERCADOS PERUANOS SOCIEDAD ANONIMA 'O ' S.P.S.A.,Kallpa,2022-01-01 00:00:00,2024-12-31 00:00:00,25,25,3.0,2.5,2.5,,,0,,,,,
4610,,SUPERMERCADOS PERUANOS SOCIEDAD ANONIMA 'O ' S.P.S.A.,Kallpa,2022-01-01 00:00:00,2024-12-31 00:00:00,25,25,3.0,0.32,0.32,,,0,,,,,
4611,,SUPERMERCADOS PERUANOS SOCIEDAD ANONIMA 'O ' S.P.S.A.,Kallpa,2022-01-01 00:00:00,2024-12-31 00:00:00,25,25,3.0,0.3,0.3,,,0,,,,,
4612,,SUPERMERCADOS PERUANOS SOCIEDAD ANONIMA 'O ' S.P.S.A.,Kallpa,2022-01-01 00:00:00,2024-12-31 00:00:00,25,25,3.0,0.46,0.46,,,0,,,,,
4613,,SUPERMERCADOS PERUANOS SOCIEDAD ANONIMA 'O ' S.P.S.A.,Kallpa,2022-01-01 00:00:00,2024-12-31 00:00:00,25,25,3.0,0.75,0.75,,,0,,,,,
4614,,SUPERMERCADOS PERUANOS SOCIEDAD ANONIMA 'O ' S.P.S.A.,Kallpa,2022-01-01 00:00:00,2024-12-31 00:00:00,25,25,3.0,1.65,1.65,,,0,,,,,
4615,,SUPERMERCADOS PERUANOS SOCIEDAD ANONIMA 'O ' S.P.S.A.,Kallpa,2022-01-01 00:00:00,2024-12-31 00:00:00,25,25,3.0,0.505,0.505,,,0,,,,,
4616,,SUPERMERCADOS PERUANOS SOCIEDAD ANONIMA 'O ' S.P.S.A.,Kallpa,2022-01-01 00:00:00,2024-12-31 00:00:00,25,25,3.0,0.6,0.6,,,0,,,,,
