,Contrato,Usuario Libre,Suministrador,Fecha de Suscripción,Fecha de Finalización,Precio Base,Precio FP,Rango de duración,Potencia_HP,Potencia_HFP,BRG,Precio de Potencia,Consistencia,Link,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
0,1.0,AGROPECUARIA RIO BRAVO HNOS S.A.C.,Atria Energía,2024-05-01 00:00:00,2026-04-30 00:00:00,56.631578947368425,56.631578947368425,1.9972602739726026,0.205,0.205,,,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/ATRE_20104508023_20240404_7954_00.pdf,,,,
1,2.0,COSTEÑO ALIMENTOS S.A.C.,Electronoroeste,2024-02-01 00:00:00,2026-12-30 00:00:00,32.5,32.5,2.9123287671232876,0.7,1.125,,,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/ELNO_20536727524_20240403_7956_00.pdf,,,,
2,3.0,ARA EXPORT S.A.C.,Hidrandina,2023-09-01 00:00:00,2026-12-31 00:00:00,33.5,33.5,3.334246575342466,0.5,0.64,,,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/ELNM_20551771556_20240403_7955_00.pdf,,,,
3,4.0,CONDOMINIO LA QUEBRADA CIENEGUILLA -CALLE EL RETIRO A LA ALTURA DEL KM 23.5 DE LA AV.NUEVA TOLEDO,La Virgen,2024-02-01 00:00:00,2027-01-31 00:00:00,53.5,53.5,3.0,0.54,0.54,Planicie 220 kV,PPM,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/VIRG_20601811074_20240403_7962_00.pdf,,,,
4,5.0,SHOUGANG HIERRO PERU S.A.A.,Shougesa,2024-04-01 00:00:00,2024-04-30 00:00:00,NHI,NHI,0.07945205479452055,60,60,NHI,NHI,4,https://prie.osinergmin.gob.pe/documents/12840/2566825/SHOU_20100142989_20240401_7963_00.pdf,,,,
5,6.0,FARMACOLOGICOS VETERINARIOS S.A.C.,Atria Energía,2024-04-01 00:00:00,2026-03-31 00:00:00,55.60526315789473,55.60526315789473,1.9972602739726026,0.205,0.205,Independencia 220 kV,6.571052631578947,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/ATRE_20106026883_20240401_7957_00.pdf,,,,
6,7.0,PLASTICOS REUNIDOS S A,Fénix Power,2024-03-30 00:00:00,2027-03-31 00:00:00,51.3,51.3,3.0027397260273974,0.6,0.6,Chavarría 220 kV,PPM,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/FPOW_20100670811_20240327_7952_00.pdf,,,,
7,8.0,IMPORTACIONES HIRAOKA S.A.C.,Enel Generación Perú,2026-01-01 00:00:00,2028-12-31 00:00:00,45,45,3.0,0.63,1.185,Chavarría 220 kV,PPM,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/EGPE_20100016681_20240327_7953_00.pdf,,,,
8,9.0,MOTORES DIESEL ANDINOS S.A.,Kallpa,2024-03-01 00:00:00,2027-02-28 00:00:00,50,50,2.9972602739726026,1.65,1.65,San Juan 220 kV,6.4,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/KLPA_20417926632_20240327_7944_00.pdf,,,,
9,10.0,PILADORA LA MERCED S.R.L,Atria Energía,2024-04-01 00:00:00,2028-12-31 00:00:00,56.18421052631579,56.18421052631579,4.7534246575342465,0.21,0.21,Chiclayo 220,6.781578947368422,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/ATRE_20438252089_20240327_7951_00.pdf,,,,
10,11.0,HERMES TRANSPORTES BLINDADOS  S A,Enel Generación Perú,2024-04-01 00:00:00,2029-03-31 00:00:00,43,43,5.0,0.35,0.75,San Juan 220 kV,PPM,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/EGPE_20100077044_20240327_7948_00.pdf,,,,
11,12.0,AGROINDUSTRIAS DEL CHIRA S.R.L.,La Virgen,2024-02-01 00:00:00,2026-07-31 00:00:00,55.25,55.25,2.495890410958904,0.275,0.275,Piura Oeste 220 kV,PPM,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/VIRG_20103000298_20240327_7958_00.pdf,,,,
12,13.0,MAERSK LOGISTICS & SERVICES PERU S.A.,Atria Energía,2024-04-01 00:00:00,2027-03-31 00:00:00,68,68,2.9972602739726026,0.42,0.42,Piura Oeste 220 kV,7,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/ATRE_20107012011_20240326_7940_00.pdf,,,,
13,14.0,E & K ASOCIADOS S.A.C.,Atria Energía,2024-04-01 00:00:00,2025-04-30 00:00:00,52,52,1.0794520547945206,0.205,0.205,Santa Rosa 220 kV,7,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/ATRE_20536893530_20240326_7939_00.pdf,,,,
14,15.0,CONDOMINIO LAS BRISAS,Coelvisac,2024-04-01 00:00:00,2026-12-31 00:00:00,48,48,2.750684931506849,0.201,0.201,Asia 220 kV,TB,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/COEL_20252873636_20240326_7950_00.pdf,,,,
15,16.0,TINTORERIA PERU COLOR SAC,Atria Energía,2025-01-01 00:00:00,2028-12-31 00:00:00,52,52,4.0,0.21,0.21,Santa Rosa 220 kV,7,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/ATRE_20519388104_20240326_7941_00.pdf,,,,
16,17.0,LIMAGRO S.A.,Kallpa,2024-03-01 00:00:00,2026-02-28 00:00:00,CMg+8,CMg+8,1.9972602739726026,0.3,0.3,Piura Oeste 220 kV,6.3,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/KLPA_20498710663_20240325_7938_00.pdf,,,,
17,18.0,MATADERO FRIGORIFICO INDUSTRIAL OXAPAMPA S.A.,Kallpa,2024-04-01 00:00:00,2025-03-31 00:00:00,CMg+9,CMg+9,0.9972602739726028,0.3,0.3,Yaupi 138 kV,6.352631578947369,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/KLPA_20486024284_20240325_7933_00.pdf,,,,
18,19.0,INDUSTRIAS ELICAR S.A.C.,Enel Generación Perú,2024-04-01 00:00:00,2029-03-31 00:00:00,43.25,43.25,5.0,0.05,0.285,Santa Rosa 220 kV,TB,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/EGPE_20122575382_20240323_7934_00.pdf,,,,
19,20.0,FRIGOSA S.A.C.,Coelvisac,2024-04-01 00:00:00,2025-04-30 00:00:00,38,38,1.0794520547945206,1.115,1.115,Piura Oeste 220 kV,TB,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/COEL_20546645593_20240321_7942_00.pdf,,,,
20,21.0,ASOCIACION PERUANA DE LA IGLESIA DE JESUCRISTO DE LOS SANTOS DE LOS ULTIMOS DIAS,Enel Generación Perú,2024-03-15 00:00:00,2029-02-28 00:00:00,43,43,4.961643835616439,0.38,1.17,Industriales 220 kV,TB,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/EGPE_20145915164_20240316_7891_00.pdf,,,,
21,22.0,EMPRESA INVERSIONES SOLMIRA SAC - E. INVERSIONES SOLMIRA SAC,Atria Energía,2024-04-01 00:00:00,2028-12-31 00:00:00,57.6578947368421,57.6578947368421,4.7534246575342465,0.201,0.201,Chavarría 220 kV,6.839473684210526,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/ATRE_20518932633_20240314_7888_00.pdf,,,,
22,23.0,CORPORACION FRUTOS DEL MAR S.A.C.,Atria Energía,2024-03-01 00:00:00,2026-02-28 00:00:00,57,57,1.9972602739726026,0.21,0.21,Independencia 220 kV,7,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/ATRE_20544125681_20240314_7890_00.pdf,,,,
23,24.0,UNIONPLAST S A,Atria Energía,2024-04-01 00:00:00,2026-12-31 00:00:00,49,49,2.750684931506849,0.205,0.205,San Juan 220 kV,7,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/ATRE_20102262361_20240314_7930_00.pdf,,,,
24,25.0,INDUSTRIAL TEXTIL ACUARIO SA,Celepsa,2024-03-01 00:00:00,2028-12-31 00:00:00,55,55,4.838356164383562,0.6,0.6,Santa Rosa 220 kV,TB,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/CEEP_20267910813_20240312_7960_00.pdf,,,,
25,26.0,SERVICIOS DE GRANOS Y MAQUILA SOCIEDAD ANONIMA SEGM S.A.,Atria Energía,2024-03-01 00:00:00,2028-12-31 00:00:00,58.13157894736843,58.13157894736843,4.838356164383562,0.42,0.42,Chiclayo 220,6.781578947368422,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/ATRE_20535856126_20240305_7884_00.pdf,,,,
26,27.0,ALESE S.A.C.,Atria Energía,2024-03-01 00:00:00,2028-12-31 00:00:00,57.631578947368425,57.631578947368425,4.838356164383562,0.28,0.28,San Juan 220 kV,6.571052631578947,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/ATRE_20297867718_20240305_7883_00.pdf,,,,
27,28.0,ASOCIACION DEPORTIVA LIMA MARINA CLUB,Fénix Power,2024-03-01 00:00:00,2027-12-31 00:00:00,52,52,3.835616438356164,0.3,0.3,San Juan 220 kV,TB,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/FPOW_20517583821_20240301_7936_00.pdf,,,,
28,29.0,SHOUGANG HIERRO PERU S.A.A.,Shougesa,2024-04-01 00:00:00,2024-04-30 00:00:00,NHI,NHI,0.07945205479452055,60,60,Marcona 220 kV,NHI,3,https://prie.osinergmin.gob.pe/documents/12840/2566825/SHOU_20100142989_20240301_7889_00.pdf,,,,
29,30.0,MOLINOS CALCAREOS S.A.C.,Enel Generación Perú,2024-03-01 00:00:00,2025-02-28 00:00:00,CMg+6.4,CMg+6.4,0.9972602739726028,0.8,0.8,Chavarría 220 kV,TB,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/EGPE_20530553541_20240229_7882_00.pdf,,,,
30,31.0,TECNOPRESS SOCIEDAD ANONIMA CERRADA - TECNOPRESS S.A.C.,Atria Energía,2024-03-01 00:00:00,2027-02-28 00:00:00,60.00000000000001,60.00000000000001,2.9972602739726026,0.201,0.201,Industriales 220 kV,6.571052631578947,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/ATRE_20517274527_20240229_7881_00.pdf,,,,
31,32.0,BPO CONSULTING SOCIEDAD ANONIMA CERRADA,Statkraft,2024-03-01 00:00:00,2025-02-28 00:00:00,CMg+7,CMg+7,0.9972602739726028,0.3,0.3,Lima 220 kV,TB,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/STAT_20525011993_20240228_7887_00.pdf,,,,
32,33.0,JOCKEY CLUB DEL PERU,Fénix Power,2024-03-01 00:00:00,2027-12-31 00:00:00,49,49,3.835616438356164,0.77,0.77,Santa Rosa 220 kV,TB,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/FPOW_20100152275_20240228_7937_00.pdf,,,,
33,34.0,GRANJA RINCONADA DEL SUR S.A.,Seal,2024-03-01 00:00:00,2025-12-31 00:00:00,54,54,1.8356164383561644,1,1,Repartición 138 kV,TB,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/SEAL_20419158462_20240228_7931_00.pdf,,,,
34,35.0,INDUSTRIA PLASTICIR E.I.R.L.,Coelvisac,2024-03-01 00:00:00,2027-02-28 00:00:00,56.5,56.5,2.9972602739726026,0.201,0.201,Zapallal 220 kV,TB,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/COEL_20601522790_20240227_7885_00.pdf,,,,
35,36.0,Manufactura de Metales y Aluminio Record S.A.,Fénix Power,2024-05-01 00:00:00,2026-12-31 00:00:00,52,52,2.6684931506849314,1.4,1.4,Santa Rosa 220 kV,TB,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/FPOW_20100074371_20240227_7935_00.pdf,,,,
36,37.0,MOLINOS DEL NORTE FRAY MARTIN S.A.C.,Atria Energía,2024-02-01 00:00:00,2025-12-31 00:00:00,62.97368421052632,62.97368421052632,1.915068493150685,0.21,0.21,Trujillo 220,6.781578947368422,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/ATRE_20482520953_20240226_7878_00.pdf,,,,
37,38.0,MOLINO EL COMANCHE S.R.L.,Atria Energía,2024-02-01 00:00:00,2025-12-31 00:00:00,62.97368421052632,62.97368421052632,1.915068493150685,0.21,0.21,Trujillo 220,6.781578947368422,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/ATRE_20482126112_20240226_7802_00.pdf,,,,
38,39.0,MEDLOG PAITA S.A.C.,Enel Generación Perú,2024-03-01 00:00:00,2027-02-28 00:00:00,55,55,2.9972602739726026,0.42000000000000004,1.3,Piura Oeste 220 kV,TB,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/EGPE_20603314531_20240226_7804_00.pdf,,,,
39,40.0,YMATEX E.I.R.L.,Coelvisac,2024-03-01 00:00:00,2026-02-28 00:00:00,49.9,49.9,1.9972602739726026,0.5,0.5,Industriales 220 kV,TB,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/COEL_20550393132_20240226_7803_00.pdf,,,,
40,41.0,AGRO ALIMENTOS ANDINOS S.A.C.,Atria Energía,2024-03-01 00:00:00,2027-12-31 00:00:00,55,55,3.835616438356164,0.205,0.205,Chilca 220 kV,7,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/ATRE_20516313821_20240221_7796_00.pdf,,,,
41,42.0,JESHUA ADONAI SOCIEDAD ANONIMA CERRADA,Atria Energía,2025-01-01 00:00:00,2025-12-31 00:00:00,53,53,0.9972602739726028,1,1,Santa Rosa 220 kV,TB,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/ATRE_20511131287_20240220_7877_00.pdf,,,,
42,43.0,G & B MOLINOS S.A.C,Enel Generación Perú,2024-03-01 00:00:00,2028-12-31 00:00:00,45,45,4.838356164383562,0.3,0.38,Chiclayo Oeste 220 kV,TB,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/EGPE_20479403113_20240214_7795_00.pdf,,,,
43,44.0,SECHURA BC S.A.C.,La Virgen,2024-01-01 00:00:00,2024-06-30 00:00:00,52,52,0.4958904109589041,1.5,1.5,Piura Oeste 220 kV,TB,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/VIRG_20600625544_20240213_7800_00.pdf,,,,
44,45.0,G & B MOLINOS S.A.C,Huaura Power Group,2024-01-01 00:00:00,2024-12-31 00:00:00,50,50,1.0,0.38,0.38,Chiclayo Oeste 220 kV,TB,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/HPOW_20479403113_20240207_7794_00.pdf,,,,
45,46.0,Q & Q PERUVIAN FROZEN S.A.C.,La Virgen,2024-01-01 00:00:00,2024-06-30 00:00:00,55,55,0.4958904109589041,0.5,0.5,Piura Oeste 220 kV,TB,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/VIRG_20600516087_20240206_7801_00.pdf,,,,
46,47.0,SERV AGUA POTAB Y ALCANT DE LIMA-SEDAPAL,Coelvisac,NHI,NHI,NHI,NHI,,NHI,NHI,NHI,NHI,8,https://prie.osinergmin.gob.pe/documents/12840/2566825/COEL_20100152356_20240206_7961_00.pdf,,,,
47,48.0,COMPLEJO AGROINDUSTRIAL BETA S.A.,Kallpa,2024-01-01 00:00:00,2024-06-30 00:00:00,CMg+8,CMg+8,0.4958904109589041,5.041,5.041,Ica 220 kV,TB,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/KLPA_20297939131_20240130_7876_00.pdf,,,,
48,49.0,COMPLEJO AGROINDUSTRIAL BETA S.A.,Kallpa,2024-01-01 00:00:00,2024-06-30 00:00:00,CMg+8,CMg+8,0.4958904109589041,4.88,4.88,Chiclayo Oeste 220 kV,TB,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/KLPA_20297939131_20240130_7793_00.pdf,,,,
49,50.0,COMPLEJO AGROINDUSTRIAL BETA S.A.,Kallpa,2024-01-01 00:00:00,2024-06-30 00:00:00,CMg+8,CMg+8,0.4958904109589041,0.201,0.201,Piura Oeste 220 kV,TB,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/KLPA_20297939131_20240130_7793_00.pdf,,,,
50,51.0,EMPRESA ADMINISTRADORA CERRO S.A.C.,Fénix Power,2024-02-01 00:00:00,2033-12-31 00:00:00,40.25,40.25,9.92054794520548,27.7,27.7,Paragsha II 138 kV,PPM,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/FPOW_20538848060_20240130_7792_00.pdf,,,,
51,52.0,EMP.EXPLOTADORA DE VINCHOS LTDA S.A.C.,Fénix Power,2024-02-01 00:00:00,2033-12-31 00:00:00,40.25,40.25,9.92054794520548,0.201,0.201,Paragsha II 138 kV,PPM,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/FPOW_20100539439_20240130_7690_00.pdf,,,,
52,53.0,VOLCAN COMPANIA MINERA S.A.A.,Fénix Power,2024-02-01 00:00:00,2033-12-31 00:00:00,40.25,40.25,9.92054794520548,60.25,60.25,Oroya Nueva 50 kV,PPM,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/FPOW_20383045267_20240130_7689_00.pdf,,,,
53,54.0,COMPAÑIA MINERA CHUNGAR S.A.C.,Fénix Power,2024-02-01 00:00:00,2033-12-31 00:00:00,40.2,40.2,9.92054794520548,26.15,26.15,Paragsha 220 kV,PPM,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/FPOW_20514608041_20240130_7691_00.pdf,,,,
54,55.0,JUNTA DE PROPIETARIOS HABILITACION VACACIONAL PLAYA DEL GOLF,Kallpa,2024-01-01 00:00:00,2026-12-31 00:00:00,52,52,3.0,0.4,0.4,Lima 220 kV,PPM,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/KLPA_20506684952_20240125_7791_00.pdf,,,,
55,56.0,CEMENTOS PACASMAYO S.A.A.,Enel Generación Perú,2026-06-01 00:00:00,2031-05-31 00:00:00,32.2,32.2,5.0,28,44,Guadalupe 60 kV,PPM,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/EGPE_20419387658_20240125_7688_00.pdf,,,,
56,57.0,CEMENTOS PACASMAYO S.A.A.,Enel Generación Perú,2026-06-01 00:00:00,2031-05-31 00:00:00,32.2,32.2,5.0,16,22,Piura Oeste 220 kV,PPM,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/EGPE_20419387658_20240125_7688_00.pdf,,,,
57,58.0,REDONDOS S.A.,Enel Generación Perú,2024-07-01 00:00:00,2028-06-30 00:00:00,38.66,38.66,4.0,0.217,0.217,Santa Rosa 220 kV,PPM,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/EGPE_20221084684_20240123_7928_00.pdf,,,,
58,59.0,MALECON BALTA OPERATOR S.A.C,Atria Energía,2023-12-01 00:00:00,2025-12-31 00:00:00,55,55,2.084931506849315,0.21,0.21,Lima 220 kV,7,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/ATRE_20601007119_20240122_7680_00.pdf,,,,
59,60.0,CORPORACION BOLSIPOL S.A.C.,Kallpa,2024-01-01 00:00:00,2026-12-31 00:00:00,50,50,3.0,0.725,0.725,San Juan 220 kV,6.5,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/KLPA_20502755316_20240120_7872_00.pdf,,,,
60,61.0,GALLOS MARMOLERIA SA,La Virgen,2024-01-01 00:00:00,2027-04-30 00:00:00,54,54,3.328767123287671,0.65,0.65,Alto Praderas 220 kV,PPM,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/VIRG_20123444656_20240109_7798_00.pdf,,,,
61,62.0,DAEWON SUSAN E.I.R.L.,La Virgen,2024-01-01 00:00:00,2026-05-30 00:00:00,55.2,55.2,2.410958904109589,0.7,0.7,Piura Oeste 220 kV,PPM,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/VIRG_20502828992_20240102_7676_00.pdf,,,,
62,63.0,PESQUERA OP7 & BELL S.A.C. / OP7 & BELL S.A.C.,Huaura Power Group,2024-01-01 00:00:00,2025-12-31 00:00:00,50,50,2.0,0.4,0.4,Chimbote 220 kV,PPM,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/HPOW_20600662245_20240101_7677_00.pdf,,,,
63,64.0,MOLINO SAN FERNANDO S.R.L.,Huaura Power Group,2024-01-01 00:00:00,2025-12-31 00:00:00,52,52,2.0,1,1,Chiclayo Oeste 220 kV,PPM,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/HPOW_20479364207_20240101_7678_00.pdf,,,,
64,65.0,PERUVIAN SEA FOOD S.A.,Huaura Power Group,2024-01-01 00:00:00,2024-01-31 00:00:00,CMg+4.7,CMg+4.7,0.0821917808219178,3.091,3.091,Alto Praderas 220 kV,PPM,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/HPOW_20206228815_20240101_7789_00.pdf,,,,
65,66.0,SHOUGANG HIERRO PERU S.A.A.,Eléctrica Huallaga,2024-01-01 00:00:00,2024-12-31 00:00:00,CMg+3.75,CMg+3.75,1.0,40,40,Marcona 220 kV,PPM,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/HUAL_20100142989_20231231_7673_00.pdf,,,,
66,67.0,FUNDICION VENTANILLA S.A.,Enel Distribución Perú,2024-01-01 00:00:00,2025-12-31 00:00:00,48.86842105263158,48.86842105263158,2.0,2.75,2.75,Chavarría 220 kV,PPM,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/EDPE_20100014808_20231231_7949_00.pdf,,,,
67,68.0,NESTLE PERU S.A.,Coelvisac,2024-01-01 00:00:00,2026-12-31 00:00:00,53.86666666666667,53.86666666666667,3.0,0.25,0.25,Cajamarca 220 kV,PPM,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/COEL_20263322496_20231231_7684_00.pdf,,,,
68,69.0,NESTLE PERU S.A.,Coelvisac,2024-01-01 00:00:00,2026-12-31 00:00:00,53.86666666666667,53.86666666666667,3.0,0.2,0.2,Industriales 220 kV,PPM,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/COEL_20263322496_20231231_7684_00.pdf,,,,
69,70.0,NESTLE PERU S.A.,Coelvisac,2024-01-01 00:00:00,2026-12-31 00:00:00,53.86666666666667,53.86666666666667,3.0,4,4,Santa Rosa 220 kV,PPM,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/COEL_20263322496_20231231_7684_00.pdf,,,,
70,71.0,SHOUGANG HIERRO PERU S.A.A.,Eléctrica Huallaga,2024-01-01 00:00:00,2024-12-31 00:00:00,CMg+3.75,CMg+3.75,1.0,60,60,Marcona 220 kV,PPM,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/HUAL_20100142989_20231231_7672_00.pdf,,,,
71,72.0,AVOCADO PACKING COMPANY S.A.C.,Coelvisac,2024-01-01 00:00:00,2025-12-31 00:00:00,CMg+6,CMg+6,2.0,2,2,Trujillo 220 kV,PPM,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/COEL_20555757469_20231231_7655_00.pdf,,,,
72,73.0,UNION DE CER PER BACKUS Y JOHNSTON S.A.A,Coelvisac,2024-01-01 00:00:00,2026-12-31 00:00:00,56.1,56.1,3.0,0.3,0.3,Chiclayo Oeste 220 kV,PPM,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/COEL_20100113610_20231231_7929_00.pdf,,,,
73,74.0,CORPORACIÓN AGROLATINA S.A.C.,Coelvisac,2024-01-01 00:00:00,2026-12-31 00:00:00,43,43,3.0,5.5,5.5,Independencia 220 kV,PPM,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/COEL_20176770474_20231231_7656_00.pdf,,,,
74,75.0, AGRICOLA DEL CHIRA S.A.,Bio Energia del Chira,2024-01-01 00:00:00,2024-12-31 00:00:00,70.77,70.77,1.0,NHI,NHI,Piura Oeste 220 kV,PPM,2,https://prie.osinergmin.gob.pe/documents/12840/2566825/ACHI_20525413447_20231231_7653_00.pdf,,,,
75,76.0, AGRICOLA DEL CHIRA S.A.,Bio Energia del Chira,2024-01-01 00:00:00,2024-12-31 00:00:00,52.93,52.93,1.0,NHI,NHI,Piura Oeste 220 kV,PPM,2,https://prie.osinergmin.gob.pe/documents/12840/2566825/ACHI_20525413447_20231231_7653_00.pdf,,,,
76,76.0,SUCROALCOLERA DEL CHIRA S.A.,Bio Energia del Chira,2024-01-01 00:00:00,2024-12-31 00:00:00,70.77,70.77,1.0,7,7,Piura Oeste 220 kV,PPM,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/ACHI_20525538738_20231231_7652_00.pdf,,,,
77,77.0,INVERSIONES VALENTINA & NATHALY S.A.C.,Electro Ucayali,2024-01-01 00:00:00,2024-12-31 00:00:00,40,40,1.0,0.4,0.4,Pucallpa 60 kV,PPM,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/ELUC_20394090469_20231230_7671_00.pdf,,,,
78,78.0,GROUP CORPORATION REYE'S S.A.C.,Atria Energía,2024-01-01 00:00:00,2025-12-31 00:00:00,61.84,61.84,2.0,0.21,0.21,Chimbote 220 kV,6.872,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/ATRE_20569268444_20231229_7682_00.pdf,,,,
79,79.0,ECOPACKING CARTONES SOCIEDAD ANONIMA,Kallpa,2024-01-01 00:00:00,2024-06-30 00:00:00,CMg+8,CMg+8,0.4958904109589041,1,1.4,Trujillo Norte 220 kV,6.2,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/KLPA_20603749465_20231229_7679_00.pdf,,,,
80,80.0,JESHUA ADONAI SOCIEDAD ANONIMA CERRADA,Atria Energía,2024-01-01 00:00:00,2025-12-31 00:00:00,53,53,2.0,1,1,Santa Rosa 220 kV,7,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/ATRE_20511131287_20231229_7657_00.pdf,,,,
81,81.0,OVOSUR S.A,Kallpa,2024-01-01 00:00:00,2026-12-31 00:00:00,50.5,50.5,3.0,0.61,0.61,San Juan 220 kV,PPM,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/KLPA_20344506842_20231229_7870_00.pdf,,,,
82,82.0,GASOCENTRO & AUTOSERVICIOS REAL S.A.C.,Kallpa,2024-01-01 00:00:00,2026-12-31 00:00:00,52,52,3.0,0.64,0.64,Lima 220 kV,PPM,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/KLPA_20515528734_20231229_7871_00.pdf,,,,
83,83.0,MEGACENTRO INDUSTRIALES SUR S.A.C.,Kallpa,2024-01-01 00:00:00,2026-12-31 00:00:00,51.166666666666664,51.166666666666664,3.0,0.5,0.5,Lima 220 kV,PPM,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/KLPA_20555833238_20231229_7869_00.pdf,,,,
84,84.0,MOLINORTE S.A.C.,Atria Energía,2024-01-01 00:00:00,2025-12-31 00:00:00,63.81333333333333,63.81333333333333,2.0,0.21,0.21,Trujillo 220 kV,6.872,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/ATRE_20481608598_20231229_7681_00.pdf,,,,
85,85.0,EMPRESA DE TRANSPORTES Y SERVICIOS VIRGEN DE LA PUERTA S.A.,Atria Energía,2024-01-01 00:00:00,2025-12-31 00:00:00,57.22666666666667,57.22666666666667,2.0,0.21,0.21,Zapallal 220 kV,6.906666666666666,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/ATRE_20156930963_20231228_7668_00.pdf,,,,
86,86.0,EMBOTELLADORA SAN MIGUEL DEL SUR S.A.C.,Seal,2024-02-01 00:00:00,2027-12-31 00:00:00,56,56,3.915068493150685,2.5,2.5,Arequipa 138 kV,6.906666666666666,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/SEAL_20413940568_20231228_7675_00.pdf,,,,
87,87.0,CALQUIPA S.A.C.,Seal,2024-01-01 00:00:00,2025-12-31 00:00:00,48,48,2.0,1.2,1.2,Callali 220 kV,PPM,0,https://prie.osinergmin.gob.pe/documents/12840/2566825/SEAL_20455959943_20231228_7674_00.pdf,,,,
