fecha,Fenix,Atria,Engie,Kallpa
05/12/2023 09:45,35.0,0.0,2.452956989247312,3.375
05/12/2023 10:00,35.0,0.0,2.452956989247312,3.375
05/12/2023 10:15,35.0,0.0,2.452956989247312,3.375
05/12/2023 10:30,35.0,0.0,2.452956989247312,3.375
05/12/2023 10:45,35.0,0.0,2.452956989247312,3.375
05/12/2023 11:00,35.0,0.0,2.452956989247312,3.375
05/12/2023 11:15,35.0,40.8,2.452956989247312,3.375
05/12/2023 11:30,6.338082704962903,40.8,2.452956989247312,3.375
05/12/2023 11:45,26.905849678975567,40.8,2.452956989247312,3.375
05/12/2023 12:00,35.0,40.8,2.452956989247312,3.375
05/12/2023 12:15,35.0,40.8,2.452956989247312,3.375
05/12/2023 12:30,35.0,40.8,2.452956989247312,3.375
05/12/2023 12:45,29.789831410976838,40.8,2.452956989247312,3.375
05/12/2023 13:00,18.77393875059071,40.8,2.452956989247312,3.375
05/12/2023 13:15,0.04420163804071622,40.8,2.452956989247312,3.375
05/12/2023 13:30,35.0,40.8,2.452956989247312,3.375
05/12/2023 13:45,35.0,40.8,2.452956989247312,3.375
05/12/2023 14:00,35.0,40.8,2.452956989247312,3.375
05/12/2023 14:15,35.0,40.8,2.452956989247312,3.375
05/12/2023 14:30,35.0,40.8,2.452956989247312,3.375
05/12/2023 14:45,35.0,40.8,2.452956989247312,3.375
05/12/2023 15:00,35.0,40.8,2.452956989247312,3.375
05/12/2023 15:15,35.0,40.8,2.452956989247312,3.375
05/12/2023 15:30,35.0,40.8,2.452956989247312,3.375
05/12/2023 15:45,35.0,40.8,2.452956989247312,3.375
05/12/2023 16:00,35.0,40.8,2.452956989247312,3.375
