,fecha,Fenix,Atria,Engie,Kallpa
0,01/03/2024 00:15,0,0,0,0
1,01/03/2024 00:30,0,0,0,0
2,01/03/2024 00:45,0,0,0,0
3,01/03/2024 01:00,0,0,0,0
4,01/03/2024 01:15,0,0,0,0
5,01/03/2024 01:30,0,0,0,0
6,01/03/2024 01:45,0,0,0,0
7,01/03/2024 02:00,0,0,0,0
8,01/03/2024 02:15,0,0,0,0
9,01/03/2024 02:30,0,0,0,0
10,01/03/2024 02:45,0,0,0,0
11,01/03/2024 03:00,0,0,0,0
12,01/03/2024 03:15,0,0,0,0
13,01/03/2024 03:30,0,0,0,0
14,01/03/2024 03:45,0,0,0,0
15,01/03/2024 04:00,0,0,0,0
16,01/03/2024 04:15,0,0,0,0
17,01/03/2024 04:30,0,0,0,0
18,01/03/2024 04:45,0,0,0,0
19,01/03/2024 05:00,0,0,0,0
20,01/03/2024 05:15,0,0,0,0
21,01/03/2024 05:30,0,0,0,0
22,01/03/2024 05:45,0,0,0,0
23,01/03/2024 06:00,0,0,0,0
24,01/03/2024 06:15,0,0,0,0
25,01/03/2024 06:30,0,0,0,0
26,01/03/2024 06:45,0,0,0,0
27,01/03/2024 07:00,0,0,0,0
28,01/03/2024 07:15,0,0,0,0
29,01/03/2024 07:30,0,0,0,0
30,01/03/2024 07:45,0,0,0,0
31,01/03/2024 08:00,0,0,0,0
32,01/03/2024 08:15,0,0,0,0
33,01/03/2024 08:30,0,0,0,0
34,01/03/2024 08:45,0,0,0,0
35,01/03/2024 09:00,0,0,0,0
36,01/03/2024 09:15,0,0,0,0
37,01/03/2024 09:30,0,0,0,0
38,01/03/2024 09:45,0,0,0,0
39,01/03/2024 10:00,0,0,0,0
40,01/03/2024 10:15,0,0,0,0
41,01/03/2024 10:30,0,0,0,0
42,01/03/2024 10:45,0,0,0,0
43,01/03/2024 11:00,0,0,0,0
44,01/03/2024 11:15,0,0,0,0
45,01/03/2024 11:30,0,0,0,0
46,01/03/2024 11:45,0,0,0,0
47,01/03/2024 12:00,0,0,0,0
48,01/03/2024 12:15,0,0,0,0
49,01/03/2024 12:30,0,0,0,0
50,01/03/2024 12:45,0,0,0,0
51,01/03/2024 13:00,0,0,0,0
52,01/03/2024 13:15,0,0,0,0
53,01/03/2024 13:30,0,0,0,0
54,01/03/2024 13:45,0,0,0,0
55,01/03/2024 14:00,0,0,0,0
56,01/03/2024 14:15,0,0,0,0
57,01/03/2024 14:30,0,0,0,0
58,01/03/2024 14:45,0,0,0,0
59,01/03/2024 15:00,0,0,0,0
60,01/03/2024 15:15,0,0,0,0
61,01/03/2024 15:30,0,0,0,0
62,01/03/2024 15:45,0,0,0,0
63,01/03/2024 16:00,0,0,0,0
64,01/03/2024 16:15,0,0,0,0
65,01/03/2024 16:30,0,0,0,0
66,01/03/2024 16:45,0,0,0,0
67,01/03/2024 17:00,0,0,0,0
68,01/03/2024 17:15,0,0,0,0
69,01/03/2024 17:30,0,0,0,0
70,01/03/2024 17:45,0,0,0,0
71,01/03/2024 18:00,0,0,0,0
72,01/03/2024 18:15,0,0,0,0
73,01/03/2024 18:30,0,0,0,0
74,01/03/2024 18:45,0,0,0,0
75,01/03/2024 19:00,0,0,0,0
76,01/03/2024 19:15,0,0,0,0
77,01/03/2024 19:30,0,0,0,0
78,01/03/2024 19:45,0,0,0,0
79,01/03/2024 20:00,0,0,0,0
80,01/03/2024 20:15,0,0,0,0
81,01/03/2024 20:30,0,0,0,0
82,01/03/2024 20:45,0,0,0,0
83,01/03/2024 21:00,0,0,0,0
84,01/03/2024 21:15,0,0,0,0
85,01/03/2024 21:30,0,0,0,0
86,01/03/2024 21:45,0,0,0,0
87,01/03/2024 22:00,0,0,0,0
88,01/03/2024 22:15,0,0,0,0
89,01/03/2024 22:30,0,0,0,0
90,01/03/2024 22:45,0,0,0,0
91,01/03/2024 23:00,0,0,0,0
92,01/03/2024 23:15,0,0,0,0
93,01/03/2024 23:30,0,0,0,0
