Unnamed: 0,EG00001CLR,CL00005CLR,CL00009CLR,CL00004CLR,CL00001CLR,CL00008CLR,CL00007CLR,CL00006CLR,CL00003CLR,CL00002CLR,CL00017CLR,CL00018CLR,CL00015CLR,CL00014CLR,CL00010CLR,CL00011CLR,CL00016CLR,CL00013CLR,CL00012CLR,CL00019CLR
VERSION DE DECLARACION,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
01/08/2023 00:15,2.9503645,0.020941569965712073,0.14833931720102106,0.062168523804790314,0.45326657499065814,0.21669806385589488,0.1689039236006692,0.005504335071320734,0.03021970974801496,0.42158314573737427,0.10814187175513257,0.07638832632491947,0.044898780611926134,0.010743616556414636,0.00567882707972523,0.003996564465067911,0.02103356952848403,0.012579563096369886,0.006169821090899865,0.0001495852718858558
01/08/2023 00:30,2.9438298300000003,0.02037418425263201,0.14090814943826035,0.05913528532873285,0.440015761071371,0.2072467633548047,0.16275074765369543,0.005287623178785787,0.02924123467225615,0.39572404235798636,0.10333976124413005,0.07522192203959867,0.04326125653667433,0.010854886860399357,0.005004292103749489,0.0038708019946141177,0.019557743216071937,0.0122038670718619,0.006029559279594373,0.00014643245337926306
01/08/2023 00:45,2.9431242699999998,0.019697970593429096,0.13484832644008143,0.05742056985383651,0.4288845752437813,0.1992837627488709,0.1555687862562571,0.004838354344281031,0.028284528717403067,0.3785564776145792,0.09931423807847842,0.07439436209266469,0.04156646946216173,0.010787696323165662,0.004362182229448366,0.003846375671727008,0.018244444847820063,0.011322321750220025,0.00580128605853448,0.0001477790653430992
01/08/2023 01:00,2.93895142,0.019002130855402834,0.12950914217507786,0.057142532991297214,0.41843280639906555,0.1924176975323896,0.15065522669110978,0.004512681501002608,0.027432486934663144,0.36068787022323573,0.09573010137075372,0.07435989886057304,0.03935624275587689,0.010317109206230888,0.0042656628450072915,0.0037788124648385035,0.016900274509527354,0.011045207536958613,0.005664206958355559,0.00014586986645480617
01/08/2023 01:15,2.93559326,0.01861392465342657,0.12348533358783287,0.05420201501879305,0.4063853788647231,0.1858810700883795,0.1475231916378781,0.0047062756417612156,0.02609231552057124,0.33696871670149847,0.09288445803647064,0.07422178839027818,0.03753207427638292,0.009938677169868957,0.004131025888493499,0.0037701135663681853,0.015569511301270416,0.011518681962751473,0.00557964732356571,0.00014340728564008878
01/08/2023 01:30,2.92882227,0.01823806254005074,0.12124037472351726,0.05408874551948117,0.4005728540511834,0.18225173300667344,0.14112297066606314,0.004566696202563355,0.025771427064966403,0.3369868141611613,0.0898741592338548,0.07356093307682167,0.0364421658280102,0.009747348915423884,0.003735832197062484,0.0037498432748806054,0.014841365057798416,0.011549208613441306,0.005435264191626538,0.0001429484683043797
01/08/2023 01:45,2.93041089,0.017987589871863045,0.11761850915028789,0.05237180881969921,0.392772937909252,0.17872996033057956,0.13622160224031513,0.0046100295151501195,0.025057102239420533,0.3324789701992369,0.0868380366486193,0.07310218963936926,0.03600313057524848,0.009643134305815244,0.0034553365334955887,0.0037253021112094446,0.014279863026111205,0.01130334544338306,0.005358992662474216,0.0001411704711181766
01/08/2023 02:00,2.92208203,0.017822925971706424,0.11441925450607392,0.051888545760399245,0.38898729274099453,0.17242565012795297,0.13172384285225897,0.004500805126722775,0.024830388654164932,0.30039070909102467,0.0847806299085171,0.07286518879137192,0.03554868402470689,0.009424319181331034,0.0030130547751397838,0.0036790041216504163,0.014139381750861657,0.010710645899622362,0.005312973486676721,0.0001439343479777677
01/08/2023 02:15,2.92005908,0.017650142994750078,0.1140401764456015,0.051920985533594734,0.3835058078945018,0.17153229768215633,0.12822671988190132,0.004576646325937803,0.024164215847823328,0.3014780824860261,0.08298074516728048,0.07293466102252084,0.03469323122293542,0.009738985751970755,0.0031484737416188928,0.0036693084908544765,0.013718946055117075,0.010590801535160446,0.005251685992138029,0.0001433271076688151
01/08/2023 02:30,2.91368433,0.01731079728245652,0.11197085568668941,0.05120907082560446,0.38062693359851296,0.16808937109496275,0.12523859643569377,0.004395229370263449,0.023883134131255673,0.29270015250531806,0.08199501122527608,0.07242033316468396,0.034069517156037364,0.010262600166467345,0.002714549375316089,0.0036216767963925655,0.013397865368513617,0.010352642458288276,0.005205601338571835,0.00014390193236383513
01/08/2023 02:45,2.9120158700000003,0.017097773980228582,0.11078640699087261,0.050684514378411,0.37595735956643384,0.16643822198757083,0.12447187534929449,0.004284343266069301,0.023715805144594305,0.2867428254669339,0.08095052219906189,0.0725430647493294,0.033949494678933954,0.010233161975390094,0.002455455838421545,0.003591909597275309,0.01311290870927806,0.009885012386323028,0.00514282671205254,0.000143215885689276
01/08/2023 03:00,2.90399805,0.01698955230298636,0.10898004428535697,0.05029667979539382,0.3738262078494374,0.1643297144737467,0.12243641041426184,0.004154229712398138,0.023590588990053892,0.27452739037461865,0.07997869243224398,0.07218856435934147,0.033355488708139605,0.010186994030165887,0.0024454323300975877,0.0035706512096948697,0.012906628084802417,0.009524518167983928,0.005131876589316841,0.00014166452347946724
01/08/2023 03:15,2.9036867699999998,0.016910471148694962,0.10694557383701292,0.04940694452300226,0.3676080930943363,0.16274409116321822,0.12287548119696998,0.004179498551082413,0.02343197209538441,0.27044793373633774,0.07933946962321195,0.07265524380063831,0.0327169023680265,0.009829765885001479,0.0025974720438678256,0.0035965962716100618,0.012604495043957416,0.009394779833685593,0.005136958636395319,0.00014098051897334577
