Unnamed: 0,EG00062CLP,CB00024CLP,CB00067CLP,CB00027CLP,CB00041CLP,CB00042CLP,CB00049CLP,CB00044CLP,CB00066CLP,CB00011CLP,CB00141CLP,CL00104CLP,CL00107CLP,CL00108CLP,CL00106CLP,CL00105CLP,CL00111CLP,CL00110CLP,CL00112CLP,CB00142CLP,CB00145CLP,CB00147CLP,CB00150CLP,CB00151CLP,CL00114CLP,CB00153CLP,CB00152CLP,CB00154CLP,CB00155CLP,CB00159CLP,CB00160CLP,CB00157CLP,CB00158CLP,CB00156CLP,CB00161CLP,CB00162CLP,CB00165CLP,CB00163CLP,CB00166CLP,CB00167CLP,CB00168CLP,CB00170CLP,CB00171CLP,CB00172CLP,CB00173CLP,CB00174CLP,CL00119CLP,CL00123CLP,CL00118CLP,CL00115CLP,CL00122CLP,CL00121CLP,CL00120CLP,CL00117CLP,CL00116CLP,CL00131CLP,CL00132CLP,CL00129CLP,CL00128CLP,CL00124CLP,CL00125CLP,CL00130CLP,CL00127CLP,CL00126CLP,CB00175CLP,CL00133CLP,CB00176CLP,CB00178CLP,CB00179CLP,CB00177CLP,CB00180CLP,CB00181CLP,CB00183CLP,CB00182CLP,CB00184CLP,CB00185CLP,CB00186CLP,CB00187CLP,CB00188CLP,CB00196CLP,CB00190CLP,CB00191CLP,CB00192CLP,CB00194CLP,CB00193CLP,CB00195CLP,CB00189CLP,CB00197CLP,CB00198CLP,CB00199CLP,CB00200CLP,CB00210CLP,CB00205CLP,CB00203CLP,CB00213CLP,CB00209CLP,CB00212CLP,CB00202CLP,CB00204CLP,CB00214CLP,CB00207CLP,CB00208CLP,CB00201CLP,CB00211CLP,CB00206CLP,CB00217CLP,CB00216CLP,CB00218CLP,CB00219CLP,CB00215CLP,CB00220CLP
VERSION DE DECLARACION,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
01/11/2023 02:30,-0.1781522006,0,0,4.8167335936,7.8712374136,4.9455247116,2.4272080932,0.0342674847,2.0427936023,0.3954489337,2.8439659212,0.0733763265,0.0557444704,0.063961732,0.0003223655,0.0082712426,0.0139561923,0.083374357,0.0332843933,0.5076490504,0,0,0.0100409,0.0020508,0.006474775,0.058381737,0.019255968,0.0079536566,2.3045579336,1.8603233291,0,2.6944961944,0,0,0.4530488085,0.2475855397,0.3184369652,0.0398321692,0.024538215,0.0817637671,0.17340335,0,0.124366735,0.1938142243,0.1925263777,1.0805866273,0.0086607082,0.0445214573,0.0186679089,0.1115221732,0.0855556986,0.0745642271,0.0004311985,0.011063677,0.0981487317,0.0311584226,0.0216465913,0.0175000788,0.0060809634,0.0012112565,0.0008121401,0.0085948042,0.000371215,0.0019363873,0.6582631692,5.01722e-05,0,0,0,0,0,0.058164732,0.0411831612,0.00124032,0,0.023206205,0.0734196671,0,0,0,0,0,0,0,0,0,0,0,0.0050545,0.4341294056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0561795288,3.6852489349,13.8481180688,0.0291703393,0.0328044149,0
01/11/2023 02:45,-0.1758114614,0,0,4.7598542968,7.6840158275,4.8922689964,2.3772967914,0.034474539,2.0295962773,0.388543218,2.852265008,0.0751935891,0.0548444562,0.0635300529,0.0002876228,0.0082652197,0.014014179,0.0824141257,0.0329810063,0.498817125,0,0,0.008897,0.00194826,0.0064932479,0.05861498,0.01930248,0.0079536566,2.3271017903,1.8555426406,0,2.7094382077,0,0,0.4341914198,0.2442711462,0.3173611646,0.0402657991,0.0226761675,0.0810771374,0.17371208,0,0.1245211,0.2047070024,0.1918563878,1.0453396965,0.0086854177,0.0441156445,0.0187454723,0.1102377605,0.0849782813,0.0733603612,0.0003847264,0.0110556206,0.100579516,0.0306877606,0.021467146,0.0172949938,0.0059391341,0.0011975181,0.0006300501,0.0084761168,0.0004139414,0.0019148771,0.6519851217,5.01084e-05,0,0,0,0,0,0.0594150885,0.0420932863,0.0062016,0,0.0230261125,0.0724968242,0,0,0,0,0,0,0,0,0,0,0,0.00485232,0.4336376869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0566208726,3.4452603735,13.7048547424,0.0286999869,0.0217753444,0
01/11/2023 03:00,-0.1759624301,0,0,4.698610156,7.6711319075,4.8161473647,2.3806963956,0.0340604304,2.0160640583,0.4059429538,2.8673149927,0.0707950933,0.0539903584,0.0626843145,0.0002220213,0.0083018076,0.0142741008,0.0820074403,0.032290367,0.4958073655,0,0,0.0099138,0.0020508,0.0063898241,0.0580886621,0.019209456,0.0077769087,2.2830525039,1.8209487381,0,2.9162829053,0,0,0.424448167,0.2437296361,0.3220485813,0.0397243806,0.0230842875,0.0812659095,0.17340335,0,0.124778375,0.2009942381,0.1883150127,1.0750766094,0.0085470772,0.0431918401,0.0190931457,0.1096937751,0.0838470153,0.0722179135,0.0002969774,0.0111045609,0.0946960545,0.0302574681,0.0213595297,0.0170323993,0.0059827436,0.0011829415,0.000581237,0.0084858468,0.0004328682,0.0019148216,0.6333870568,5.00127e-05,0,0,0,0,0,0.0563895345,0.0415813409,0.0031008,0,0.0235921175,0.0727329003,0,0,0,0,0,0,0,0,0,0,0,0.00495341,0.4383988983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0585528843,2.8096078325,13.829797509,0.0292500998,0.0246033112,0
01/11/2023 03:15,-0.1766130012,0,0,4.7531359376,7.7047796905,4.8972682791,2.4157099661,0.0342674847,2.033381709,0.3804967223,2.9739141924,0.0665323419,0.0545458923,0.0615165154,0.0002213284,0.0082011555,0.0133734112,0.0801098623,0.0312888993,0.4966314495,0,0,0.0096596,0.00215334,0.0063396396,0.0594729086,0.018325728,0.0077769087,2.3211854853,1.8619973782,0,3.0230042676,0,0,0.4190531267,0.2419965035,0.3205885663,0.0393895401,0.02356893,0.0816055283,0.17504991,0,0.124366735,0.195398316,0.1862571866,1.0030610153,0.00847995,0.0418522694,0.0178883764,0.1071555603,0.0822849583,0.0729609998,0.0002960505,0.0109699279,0.0889941659,0.0300279707,0.021321103,0.0166504573,0.0056760975,0.0009954339,0.0005731621,0.0083688576,0.0005379163,0.0019223522,0.63508382,4.92759e-05,0,0,0,0,0,0.055046559,0.0418278331,0.00062016,0,0.022794565,0.0714022895,0,0,0,0,0,0,0,0,0,0,0,0.00495341,0.4398529052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0590085472,3.326153037,13.6684643979,0.0293032696,0.0509741016,0
01/11/2023 03:30,-0.1786169132,0,0,4.7087441408,7.7273575637,4.8930234877,2.4047946097,0.0343710118,2.0283163405,0.3974118651,2.8927432484,0.0676219584,0.054055643,0.0610292517,0.0002929469,0.0082280823,0.0134044528,0.079847695,0.0311284984,0.4997493072,0,0,0.0078802,0.0020508,0.006232241,0.0589648445,0.019674576,0.0079536566,2.2726050903,1.8837182199,0,2.8322228581,0,0,0.414993251,0.2459093984,0.319282237,0.0391611544,0.0232373325,0.0816021021,0.17309462,0,0.12647639,0.1924001767,0.1886021512,1.0562638313,0.0083362929,0.0416377159,0.0179298978,0.1068048833,0.0816331907,0.0723052387,0.000391848,0.0110059454,0.0904516452,0.0296881402,0.0212929464,0.0164704197,0.0060014221,0.00100921,0.0004406853,0.0082997595,0.0005033032,0.0019430112,0.628523685,5.03144e-05,0,0,0,0,0,0.0580258035,0.0413917315,0.00124032,0,0.0227688375,0.0724539012,0,0,0,0,0,0,0,0,0,0,0,0.00485232,0.4402335906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0564425898,3.3056925284,13.6753461709,0.0287562442,0.0627101638,0
01/11/2023 03:45,-0.1760458664,0,0,4.6794074216,7.7320607856,4.8393181045,2.360167318,0.0343710118,2.0300269428,0.3941454577,2.824516264,0.0539359691,0.0535325282,0.0573805965,0.0002548436,0.0082806338,0.0130968295,0.0792951231,0.0303865739,0.4981989364,0,0,0.0095325,0.0020508,0.0061445408,0.058178917,0.018558288,0.0077769087,2.2711661958,1.8416430263,0,2.8461973631,0,0,0.3909199867,0.2402330463,0.3188980226,0.0404202098,0.02316081,0.0814003775,0.17412372,0,0.127454035,0.1958351489,0.1883150127,0.9924385363,0.0082189845,0.040645312,0.0175184187,0.1060657589,0.0767527217,0.0716055164,0.0003408807,0.0110762386,0.072145162,0.0293925201,0.0208033401,0.0166997164,0.0060257568,0.0009634916,0.0004030502,0.0083667414,0.0003362592,0.0019522761,0.6199277159,5.03743e-05,0,0,0,0,0,0.057053304,0.0426810754,0.00062016,0,0.0229232025,0.0752009686,0,0,0,0,0,0,0,0,0,0,0,0.00475123,0.4398714107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0564263985,3.3293631244,13.6445218866,0.0311868837,0.0615789771,0
01/11/2023 04:00,-0.1752183742,0,0,4.6932937504,7.83047083,4.9333970823,2.4106353779,0.034474539,2.0317587126,0.4006875192,2.8537058578,0.0527919309,0.0542965312,0.0561780067,0.0003478304,0.0081920474,0.0131278591,0.0779388418,0.0305370071,0.4966369769,0,0,0.0096596,0.00194826,0.0062138657,0.0586565581,0.019255968,0.0077769087,2.3115986556,1.8250913717,0,2.8619735768,0,0,0.3676739816,0.2424471483,0.3198969802,0.0379906142,0.022701675,0.0813211907,0.17309462,0,0.12771131,0.1798639081,0.1916649621,1.000846297,0.0083117139,0.0408465326,0.017559924,0.1042515868,0.0751441285,0.0726274526,0.0004652606,0.0109577449,0.0706148878,0.0293007536,0.0204142557,0.0169315267,0.0059652258,0.0008953166,0.0006033019,0.0084305827,0.0001888786,0.0019808019,0.6122504557,5.04053e-05,0,0,0,0,0,0.0565747725,0.0420932863,0.00124032,0,0.0223057425,0.0758877354,0,0,0,0,0,0,0,0,0,0,0,0.00485232,0.4395911839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0571697642,3.1941844756,13.77833236,0.030961823,0.0624980663,0
01/11/2023 04:15,-0.1741878308,0,0,4.7548628904,7.8021787073,4.9740473432,2.4410158939,0.0342674847,2.0330460926,0.4008465472,2.7169831692,0.0663842622,0.0537890383,0.0582880298,0.0004052178,0.0082278777,0.0134973558,0.0775484242,0.0316562797,0.4983963522,0,0,0.0095325,0.0020508,0.0063108211,0.0586819106,0.019162944,0.0077769087,2.334447168,1.8510897435,0,2.8720613297,0,0,0.3454084849,0.2737619116,0.3186674939,0.038157602,0.022803705,0.0808078865,0.17474118,0,0.12904914,0.182379757,0.1863050431,0.9886460393,0.0084414022,0.0423436801,0.0180541656,0.1037293612,0.0779665114,0.0719486262,0.0005420224,0.0110056717,0.0887960934,0.029307274,0.0204014367,0.016983814,0.0061349995,0.0008511863,0.0005032487,0.0084687294,0.0001556464,0.0019807616,0.6387904698,5.01845e-05,0,0,0,0,0,0.057609018,0.0425483489,0.00124032,0,0.02284602,0.0748361237,0,0,0,0,0,0,0,0,0,0,0,0.00495341,0.4407781822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0569633681,2.8498226101,13.7439803823,0.0296420442,0.0630636596,0
01/11/2023 04:30,-0.1756197275,0,0,4.9025531248,7.9365046252,4.9792794179,2.4527775898,0.0345780661,2.0254591025,0.4211813726,2.8239632811,0.0672492538,0.0534838198,0.0585586965,0.0004306769,0.0082609025,0.0135395854,0.0773996473,0.0319977451,0.4950116094,0,0,0.0086428,0.00194826,0.0063899483,0.0601908914,0.018697824,0.0076001608,2.3066108736,1.8443638641,0,2.8366164722,0,0,0.3221385028,0.2767103093,0.3110600471,0.0393814016,0.01856946,0.0806746205,0.17443245,0,0.128997685,0.1904004912,0.1834815143,0.9976272199,0.0085472434,0.0428004269,0.0181106523,0.1035303562,0.0783285572,0.0715403636,0.0005760767,0.0110498459,0.0899531127,0.0292763794,0.0202136257,0.016963295,0.0063058995,0.000883391,0.0005221367,0.0086399903,5.0084e-06,0.0019904563,0.6576740151,5.14373e-05,0,0,0,0,0,0.0579331845,0.0426052317,0.00062016,0,0.0233862975,0.0712949822,0,0,0,0,0,0,0,0,0,0,0,0.00495341,0.4447066443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0565844668,2.9866775031,13.8837585542,0.0297222934,0.0624273671,0
01/11/2023 04:45,-0.1744217356,0,0,4.9715167968,8.0901881098,5.0776543323,2.4987715197,0.0347851204,2.0486817201,0.4346152703,2.7406549163,0.065156192,0.0537872896,0.0585719685,0.0005032922,0.0083452639,0.0135149907,0.0769059173,0.032136409,0.4934524136,0,0,0.0102951,0.00215334,0.006430215,0.0624087281,0.018883872,0.0079536566,2.3179612234,1.8513109732,0,2.8215435178,0,0,0.365165472,0.2666125967,0.3138263913,0.041700575,0.01540653,0.0799417862,0.17371208,0,0.12596184,0.1953811451,0.1807058419,0.969607829,0.0086011044,0.0429859048,0.0180777542,0.1028699392,0.07834631,0.0719462871,0.0006732074,0.0111626883,0.0871534173,0.0292783402,0.0203107482,0.017357424,0.0061482627,0.0009032061,0.0006830127,0.0085125984,0,0.0020175093,0.5946130765,5.17424e-05,0,0,0,0,0,0.063166158,0.0425673098,0.00124032,0,0.0233348425,0.0797507989,0,0,0,0,0,0,0,0,0,0,0,0.00495341,0.4446431967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0576413023,3.2644572386,13.8379687783,0.0318920737,0.0547918568,0
