Unnamed: 0,EG00062CLP,CB00024CLP,CB00067CLP,CB00027CLP,CB00041CLP,CB00042CLP,CB00049CLP,CB00044CLP,CB00066CLP,CB00011CLP,CB00141CLP,CL00104CLP,CL00107CLP,CL00108CLP,CL00106CLP,CL00105CLP,CL00111CLP,CL00110CLP,CL00112CLP,CB00142CLP,CB00145CLP,CB00147CLP,CB00150CLP,CB00151CLP,CL00114CLP,CB00153CLP,CB00152CLP,CB00154CLP,CB00155CLP,CB00159CLP,CB00160CLP,CB00157CLP,CB00158CLP,CB00156CLP,CB00161CLP,CB00162CLP,CB00165CLP,CB00163CLP,CB00166CLP,CB00167CLP,CB00168CLP,CB00171CLP,CB00172CLP,CB00173CLP,CB00174CLP,CL00119CLP,CL00123CLP,CL00118CLP,CL00115CLP,CL00122CLP,CL00121CLP,CL00120CLP,CL00117CLP,CL00116CLP,CL00131CLP,CL00132CLP,CL00129CLP,CL00128CLP,CL00124CLP,CL00125CLP,CL00130CLP,CL00127CLP,CL00126CLP,CB00175CLP,CL00133CLP,CB00176CLP,CB00178CLP,CB00179CLP,CB00177CLP,CB00180CLP,CB00181CLP,CB00183CLP,CB00182CLP,CB00184CLP,CB00185CLP,CB00186CLP,CB00187CLP,CB00188CLP,CB00196CLP,CB00190CLP,CB00191CLP,CB00192CLP,CB00194CLP,CB00193CLP,CB00195CLP,CB00189CLP,CB00197CLP,CB00198CLP,CB00199CLP,CB00200CLP,CB00210CLP,CB00205CLP,CB00203CLP,CB00213CLP,CB00209CLP,CB00212CLP,CB00202CLP,CB00204CLP,CB00214CLP,CB00207CLP,CB00208CLP,CB00201CLP,CB00211CLP,CB00206CLP,CB00217CLP,CB00216CLP,CB00218CLP,CB00219CLP,CB00215CLP,CB00220CLP,CB00229CLP
VERSION DE DECLARACION,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
01/02/2024 00:15,42.530606015464365,0,0,4.2650468752,6.634716956959901,5.983178182404594,2.678109938336347,0.050417719128000006,3.009512501757812,0.11732634350313398,3.0824901037501102,0.11227739127699836,0.0654585734946474,0.07778762198061207,0.004028848100945006,0.009358183129375551,0.03106944098068027,0.10557557696076794,0.045978486038047044,1.0132393354309082,0,0,0.0566866,0.0023584200000000004,0.006323810692674065,0.05867176960000001,0.09941976375903,0.15642191362499996,1.5663242451357107,1.338924330040242,0,2.1124437110434093,0,0,0.30654658425000003,0.20315296265000002,0.336033988581,0.0458195611356,0.016477845,0.025479320657905005,0.18101868999999998,0.14947677499999998,0.20636091644759638,0.31228110783999996,2.3139918265779,0.03020477779780487,0.2196096660305677,0.14839874353143107,0.5042666515411771,0.3715414568095653,0.31265351912851896,0.01924321703860088,0.04469802398440066,0.536276909612057,1.0212264507464641,0.6871534433206706,0.26304076496651796,0.13140931448190366,0.08890226638796436,0.02243515920704725,0.23237659689451728,0.09073249124621674,0.0591323742613201,0.47843665281303455,0.0011692046444981442,0.5358115940019922,0.35213922853035784,0.20182414139956653,0.015915779068083218,0,0.060866119499999996,0.029275691009090905,0.00124032,0,0.04131836500000001,0.065153935,0,0,0,0,0,0,0,0,0,0,0,0.005054499999999999,0.4293985964518603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0664905879288,1.6910140863440006,15.602346689832997,0.02984802199020386,0.06589162643999998,0,0.17745192580445399
01/02/2024 00:30,55.259420322331,0,0,4.1436914064,6.4449598011553295,8.089804368081493,2.642395543190066,0.05134946342400001,2.9940265064697256,0.12000522449242791,2.9948419236522565,0.10501959813969426,0.06322167382398292,0.07547117181904507,0.0039048862980015707,0.009070379259203462,0.03060828695136753,0.10219115790156812,0.04449029308405211,1.0128328208312987,0,0,0.056432399999999994,0.0023584200000000004,0.006057336037246984,0.05867176960000001,0.09973152405909003,0.15695215740000001,1.615390089004001,1.294100026854281,0,2.1235554960608662,0,0,0.36851511693,0.21443853023500004,0.33296027270100004,0.043325982529199995,0.0167584275,0.023834116524802003,0.18153323999999998,0.14474291499999997,0.20135197762645818,0.32003310591999995,2.3216988779111998,0.028931999698162215,0.21250152511993772,0.1461961072314403,0.4881014577006639,0.36047726374463446,0.3019692876118046,0.01865113120692674,0.04332336993949593,0.5016110981783495,0.9846261464792002,0.6738941922940915,0.2502996555754154,0.1295577213792666,0.08673247221771944,0.019249370103623053,0.2157236280968819,0.08844127434501582,0.05716708464910839,0.5072159806784132,0.0011720156345104077,0.5229495183598454,0.3537899919850137,0.20169542566326729,0.017959247991873983,0,0.0637990545,0.030034128599999998,0.00124032,0,0.04018635499999999,0.07428625514545453,0,0,0,0,0,0,0,0,0,0,0,0.005054499999999999,0.44784597651975877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0593007268392,2.3844137868432007,15.606527787565998,0.0302152873916626,0.06454834221,0,0.17417498356916059
01/02/2024 00:45,55.143184486043914,0,0,4.186921484000001,6.3262172771463705,7.891428797013131,2.599199683652149,0.05145299056800001,2.9757421430664057,0.1176124773880672,2.955829965312924,0.09844867474000692,0.06118871851441331,0.0729640203952672,0.0037317662624032784,0.008931857701386959,0.029722753663277635,0.09952510606284516,0.04282257348729482,1.0108427082580564,0,0,0.059991199999999995,0.0023584200000000004,0.005765028953084896,0.0592366233,0.10198058715243001,0.15571492192499997,1.613019582611588,1.318177974397865,0,2.0964301845486903,0,0,0.40861045820999997,0.209150154735,0.33196131504000004,0.0435934335816,0.0168094425,0.025585225199068,0.18132741999999996,0.14777875999999998,0.19122227187455118,0.30247148063999996,2.3036393679323997,0.027535836695359434,0.20453590086311826,0.14196648406604406,0.4753674421996394,0.3485022133611072,0.2922591671824323,0.017824248104045096,0.042661741519957636,0.4702260218597497,0.9492645405096275,0.6653763816334838,0.24040173789053804,0.1253809897012854,0.08263164176861691,0.021016548509582518,0.20563767161963867,0.08492086799638542,0.055722539373425875,0.5015436808929284,0.001162393682404114,0.5174823062779346,0.358482406641528,0.20715058271393053,0.02026940436660712,0,0.063660126,0.028536214357954538,0.00124032,0,0.0401091725,0.06278470099999998,0,0,0,0,0,0,0,0,0,0,0,0.00515559,0.45051738360728344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06006342474719999,2.0182820504384003,15.571760321808998,0.029922979400634764,0.06369995216999999,0,0.1716765157317956
01/02/2024 01:00,53.852402662585305,0,0,4.1300871096,6.145831514403172,7.8210002482168575,2.5476196667810487,0.05145299056800001,2.98470355390625,0.11411811628354923,3.036888480736882,0.093498286658655,0.06010678598902167,0.07093643213580497,0.003666183199284264,0.008586935611210187,0.02963844524236964,0.09631761304232875,0.04102124488647664,1.0027747250549315,0,0,0.0727012,0.0023584200000000004,0.005604923093999433,0.0562612539,0.10815892693728,0.15642191362499996,1.6087438950151298,1.3687960900290146,0,2.128473702699436,0,0,0.41219099700000006,0.20455193282000003,0.3275044270140001,0.043502925261599996,0.0166563975,0.026892678040938506,0.18132741999999996,0.147212755,0.1881559420173218,0.28151237472,2.2199540935934996,0.026771113946241508,0.19593211229753477,0.1415637969452926,0.4600473102916835,0.338817727879364,0.28709147113493194,0.01751099997802132,0.04101427046213279,0.44658120083698305,0.9182746879356343,0.6593471356848728,0.230944156374506,0.12284547447424961,0.08289808593606031,0.018190430585260257,0.19503787141250933,0.08289031505280796,0.054488656380169316,0.5055299530843619,0.001155458286154739,0.5211128085745443,0.3680202120153352,0.21229072955659775,0.02089532085352291,0,0.064771554,0.02957906604545454,0.00062016,0,0.04049508499999999,0.0670062452181818,0,0,0,0,0,0,0,0,0,0,0,0.0048523199999999985,0.44771115048901367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060068568016799995,1.9268068798736004,15.517197312499999,0.030434273028373714,0.06419484636,0,0.1680390674240175
01/02/2024 01:15,53.993233596097845,0,0,4.3774851560000005,5.973324693409601,7.267435357148195,2.533819915666207,0.050003610552000005,2.999384559838866,0.11628991038036075,3.0140704175590676,0.08881303873187057,0.058164604293478896,0.06909281548382419,0.00361676105710528,0.008243144902098227,0.029159773340583332,0.09435756351218266,0.039535923612430024,0.9937827251220702,0,0,0.0757516,0.00246096,0.005522344669058116,0.0566141607,0.10374004534977002,0.12690501015,1.6499957308893913,1.3562591367537695,0,2.116416507755949,0,0,0.41023783671,0.18386759498,0.3220485813270001,0.045214840540799994,0.0167584275,0.024340042523905005,0.18091577999999997,0.150402965,0.18992526117223976,0.28955148383999996,2.3165781972915003,0.026376689903925585,0.18883768755567718,0.13927748903157575,0.4506854138959962,0.33001195648239245,0.2778149178970571,0.017274942180697146,0.03937220328423542,0.4242027838612674,0.8871044738768497,0.6535968092076567,0.2181675253568088,0.11805151869211937,0.0797970790269327,0.01711044912174142,0.18368812402250695,0.08345817642298564,0.05334072940893411,0.5228940565805051,0.0011632112322604196,0.508454516595107,0.36608440994763464,0.21154417906109538,0.020621055396162814,0,0.06398429249999998,0.028631019056818176,0.00124032,0,0.03967180499999999,0.06500316556363636,0,0,0,0,0,0,0,0,0,0,0,0.00515559,0.4465419968418139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060558505257599995,2.037844710532801,15.546543150593997,0.030348945868301384,0.06433624469999999,0,0.16303813461715944
01/02/2024 01:30,41.771888819556295,0,0,4.3846449216000005,5.806937018314004,7.137192058511631,2.507570186338506,0.051867099144000006,2.995107739831542,0.11397910480501795,3.0428825119227643,0.08448640363378278,0.056558286152553275,0.06783273332720578,0.003454374529148496,0.008234702545769275,0.02840346994637907,0.092257853054172,0.03864062072615768,0.9690509095214843,0,0,0.08846159999999999,0.0022558800000000005,0.005431245966901541,0.0566141607,0.10076189633097,0.11700712634999998,1.6670317297209405,1.3586305959828784,0,2.1343232695745424,0,0,0.38820486633,0.207651655235,0.3199738231080001,0.043205192150399994,0.0165543675,0.025568734886349004,0.18019540999999997,0.147727305,0.19973684963933197,0.31070199711999996,2.2881047025365997,0.025941569975447106,0.18456140130110646,0.13566511398117626,0.4406564470426066,0.3239933541874614,0.27014256891680555,0.01649932614273228,0.03933187957604768,0.4035372297988537,0.8633418698439231,0.6455341085004981,0.21483077630100092,0.12198587505502326,0.07467339698514193,0.018937022675398964,0.1803115182834742,0.08014766750639016,0.0525437610957569,0.5261891884865217,0.0011571240580138583,0.4985946696906655,0.3653032398012464,0.2108593620440388,0.021812709464049274,0,0.063011793,0.0290671206715909,0.00062016,0,0.039723259999999996,0.06500316556363636,0,0,0,0,0,0,0,0,0,0,0,0.005054499999999999,0.4435480646642694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060746101315199995,2.0874012449696004,15.553858712434,0.030513215029335024,0.05556954761999999,0,0.1610865254159449
01/02/2024 01:45,41.293907834745106,0,0,4.3351734376,5.670703299017294,7.019682047089037,2.4870963447652334,0.05021066484000001,2.9820736456420893,0.11401112994339452,3.04169596843517,0.08173483014195487,0.054851498837904245,0.0667777602327052,0.003435454883405524,0.00808041935324505,0.02820372444559579,0.09106309942444439,0.03766680453950655,0.7636002398437499,0,0,0.110577,0.0022558800000000005,0.005302101974023625,0.0555473275,0.10123861966992001,0.121072328625,1.6665806947583663,1.3717370245452214,0,2.1586128349898837,0,0,0.37342418835,0.20870976490500004,0.32650546935300007,0.043762100382,0.016783935,0.025327180498546,0.18091577999999997,0.147933125,0.2021917138829014,0.31137192288,2.3176921577706002,0.02532473215433433,0.17991010749059153,0.1347110581498941,0.43494987711779065,0.31895442600781676,0.26199034329012627,0.016408959159365483,0.03859496796142129,0.39039473234691807,0.8394281623926642,0.6473564672561857,0.20089753546732275,0.11869765405096093,0.07824329036194523,0.01571300793175735,0.16773615797431507,0.08692045934956465,0.051685743078280985,0.5257903382536313,0.0011290556775041777,0.4995113642204304,0.3727447822522173,0.21516071726358088,0.021986298263771804,0,0.063011793,0.02882062845454545,0.00124032,0,0.04003199000000001,0.06437854932727272,0,0,0,0,0,0,0,0,0,0,0,0.005155589999999999,0.44404507064468773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059968103781599995,2.0864776808736005,14.978250150594,0.03003099320964813,0.05924590445999999,0,0.15740554041150623
01/02/2024 02:00,36.25089541651815,0,0,4.424711328,5.543362653246048,6.906720205400322,2.4731755900722856,0.05124593628000001,3.0211160062499998,0.11567651730314571,3.0096219951955034,0.07859828303598917,0.05350156419965207,0.06596240619111225,0.003468431455004886,0.007843589853186667,0.027571827199513496,0.08947616364018837,0.03725263018099231,0.8552087947937012,0,0,0.11006859999999999,0.00246096,0.005331396429396058,0.055589919700000004,0.09682467202539001,0.121072328625,1.7136163765974828,1.3863704653981552,0,2.222344830738471,0,0,0.3439994505600001,0.20769267129500002,0.334036073259,0.045810156949199994,0.016579875,0.023754518646688504,0.17988668,0.15590864999999998,0.20416014899266338,0.31089340448,2.2727349390471,0.025464652932838516,0.1779318628725223,0.13169289128239578,0.42737010519350344,0.31506000398133405,0.25554257346089926,0.016566467039676642,0.037463785708683126,0.37541346345824095,0.8202936169358824,0.639836752202847,0.203340889909156,0.12058750604986279,0.07975528824406765,0.016972347028563924,0.1636618817753936,0.08699202105524487,0.0506262701877671,0.5467304668442383,0.0011421715112748608,0.4911758110241422,0.3730386135673529,0.21533206937016797,0.022131941038337218,0,0.06464806199999999,0.02796738616477272,0.00124032,0,0.0395946225,0.06396931799999998,0,0,0,0,0,0,0,0,0,0,0,0.00495341,0.44499876692641355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059583140693999996,2.0338702850624006,14.739567961773997,0.029931417703437803,0.0318146265,0,0.1528453520271917
01/02/2024 02:15,48.11546752114515,0,0,4.5878156248,5.467849492714388,6.870764484259615,2.458113246973069,0.05083182770400001,3.0288618932128903,0.1153549600798537,3.032685024047129,0.07506365193037702,0.052389499863078115,0.0656178197225516,0.003464209975221158,0.007580019506196517,0.027476847145904697,0.08827192219443109,0.037049815860666795,0.9835203042541504,0,0,0.11032279999999998,0.0023584200000000004,0.005401756639250859,0.0540931081,0.09711292971495,0.12160257239999998,1.7917777408541409,1.3479684686634414,0,2.337169139546367,0,0,0.30648893730000004,0.19683871989499999,0.33234552952499996,0.045943878859199996,0.0167074125,0.027432290249542,0.18101868999999998,0.150300055,0.19068093876987652,0.31457799616,2.3188723775519997,0.02580071841736245,0.1769631492633781,0.13123923263353696,0.42161821807168554,0.3134141359721822,0.2502309571245671,0.016546303744941534,0.03620487962312455,0.3585308032505429,0.8043164364732882,0.649025227882793,0.18456972523875406,0.1127329867802529,0.08311909780734046,0.019771684066383195,0.149326624842241,0.09437831181908028,0.0503318298453375,0.5554604542763041,0.0011305213323098624,0.49494579440936654,0.3819344557483818,0.21938028452995875,0.01918177131229277,0,0.062039293499999995,0.028403487779545447,0.00062016,0,0.039157254999999995,0.06373239459999999,0,0,0,0,0,0,0,0,0,0,0,0.005054499999999999,0.44426845897574296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05757659397,2.1325701641248007,14.520791122667,0.029913265243721007,0.03435979662,0,0.1506616727537931
