Unnamed: 0,EG00062CLP,CB00024CLP,CB00067CLP,CB00027CLP,CB00041CLP,CB00042CLP,CB00049CLP,CB00044CLP,CB00066CLP,CB00011CLP,CB00141CLP,CL00104CLP,CL00107CLP,CL00108CLP,CL00106CLP,CL00105CLP,CL00111CLP,CL00110CLP,CL00112CLP,CB00142CLP,CB00145CLP,CB00147CLP,CB00149CLP,CB00150CLP,CB00151CLP,CL00114CLP,CB00153CLP,CB00152CLP,CB00154CLP,CB00155CLP,CB00159CLP,CB00160CLP,CB00157CLP,CB00158CLP,CB00156CLP,CB00161CLP,CB00162CLP,CB00165CLP,CB00163CLP,CB00166CLP,CB00167CLP,CB00168CLP,CB00170CLP,CB00171CLP,CB00172CLP,CB00173CLP,CB00174CLP,CL00119CLP,CL00123CLP,CL00118CLP,CL00115CLP,CL00122CLP,CL00121CLP,CL00120CLP,CL00117CLP,CL00116CLP,CL00131CLP,CL00132CLP,CL00129CLP,CL00128CLP,CL00124CLP,CL00125CLP,CL00130CLP,CL00127CLP,CL00126CLP,CB00175CLP,CL00133CLP,CB00176CLP,CB00178CLP,CB00179CLP,CB00177CLP,CB00180CLP,CB00181CLP,CB00183CLP,CB00182CLP,CB00184CLP,CB00185CLP,CB00186CLP,CB00187CLP,CB00188CLP,CB00196CLP,CB00190CLP,CB00191CLP,CB00192CLP,CB00194CLP,CB00193CLP,CB00195CLP,CB00189CLP,CB00197CLP,CB00198CLP,CB00199CLP,CB00200CLP,CB00210CLP,CB00205CLP,CB00203CLP,CB00213CLP,CB00209CLP,CB00212CLP,CB00202CLP,CB00204CLP,CB00214CLP,CB00207CLP,CB00208CLP,CB00201CLP,CB00211CLP,CB00206CLP
VERSION DE DECLARACION,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
01/02/2023 00:15,34.35946492378125,1.1730468957824005,16.33880857128906,5.278992758190752,6.126146903480943,4.342017652786635,3.3011019634730063,0.2711375901360001,1.6301694596918155,0,3.240069759708678,0.1084744854991171,0.06526276453895269,0.07549268410258785,0.004326963988341029,0.010735259317384617,0.020724048227125837,0.1287562692601869,0.04241769761773876,0.6661347215332031,0,0,0.045238022014999386,0.05694079999999999,0.00246096,0.005832665764731965,0.05308712089999999,0.023116464000000003,0.13150045619999998,2.5381198577611292,1.679203656676353,0,4.72387791271076,0,0,0.6081485906399998,0.076138801,0.3986609496360001,0.05338746390599999,0.0173451,0.283329717224322,0.16887530999999997,0.059528701139999994,0.19943958,0.22672146569433227,0.1509525864,0,0.007801073432524737,0.05673281948632557,0.027717998692219276,0.17220892674325966,0.10096995028648689,0.08728763812533281,0.005787227517311659,0.014358193942553348,0.14508244790070524,0.048132976488684906,0.02515246336948154,0.016725793646722463,0.005490465289015252,0.002007530203228549,0.0014671587081968194,0.011085994272513456,0.0031685560885046575,0.002497245038936106,0.3093465264256678,5.340410331487502e-05,0.07579899597975738,0.04952824076708874,0.027828841501277537,0.013540841751876316,0,0.0529317585,0.03540007455568181,0.00062016,0,0.034474849999999994,0.19029973279999995,0,0,0,0,0,0,0,0,0,0,0,0.004852319999999999,0.3880638289948349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/02/2023 00:30,40.876553317769385,1.3126397371568002,16.233650960449218,5.264954209801622,8.785542044148542,6.285892506578751,3.250774021695374,0.2659612329360001,1.624544615379692,0,3.2704413102538985,0.10176880469544922,0.06341060188947102,0.07294792395619687,0.004240837569541554,0.010376772258093095,0.019932084810061826,0.12400901887293672,0.040391348857615424,0.6653395307373046,0,0,0.04519320616722106,0.06100799999999999,0.0023584200000000004,0.005679297758773306,0.050877397000000005,0.022279248,0.132737691675,2.5807359055208363,1.6945196645945875,0,4.712868587148476,0,0,0.6599280504150001,0.074984922,0.3971240916960001,0.05437098764999999,0.015100440000000001,0.28608630188433004,0.16712583999999997,0.05288297915999999,0.19398534999999997,0.20709758987246432,0.15563847600000003,0,0.007595946801762212,0.05402261867673846,0.026658763512012875,0.16585957460011966,0.09756638464927939,0.08481040774382304,0.005672035160225523,0.013878724693508947,0.1361137343699568,0.04636986182848662,0.02436455130857294,0.016310735029078746,0.005732444490389308,0.001821787492905633,0.0013676320821066307,0.010626371444873696,0.002894262902819858,0.0024191134821480724,0.31761599953005615,5.275343836375173e-05,0.07286563322317151,0.048502727331555945,0.026856015551190354,0.013198633894082174,0,0.054228424500000004,0.03536215267613636,0.00124032,0,0.0339345725,0.20288117599999994,0,0,0,0,0,0,0,0,0,0,0,0.00465014,0.37282848191921697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/02/2023 00:45,47.17953131747995,1.5053452569360002,16.326328094726563,5.308000739360963,8.58654967927881,6.2887408096778605,3.159873934559404,0.2587660964280001,1.6590607011352978,0,3.2256733524281875,0.09558738853419683,0.06144285917790647,0.0703589153079036,0.0041724207121714525,0.010004273632074219,0.019640979567257626,0.12042840697583136,0.039075618224640896,0.6583224430480957,0,0,0.044396955430984486,0.06100799999999999,0.0025635000000000002,0.00548078728146001,0.0492071743,0.021255984,0.13309118752500002,2.66408391145565,1.6612963014107485,0,4.675203600434799,0,0,0.6649508342700001,0.106564147,0.39520301927099993,0.05359494803039999,0.014029125,0.2891508150717675,0.16784621,0.06186177374999999,0.19558045500000001,0.2132983038888962,0.1479402288,0,0.007330443021310681,0.05226285535422478,0.02626941609055766,0.161070578029874,0.0941036375285886,0.08217859134829948,0.005580528986222894,0.01338051525509766,0.1278462142794856,0.0448148980788783,0.023756959401475278,0.015957519627999288,0.005577069615575914,0.0016158996661748259,0.0012655766675049487,0.01024219567902937,0.0026868577659387616,0.0023666719377921893,0.31312387608144204,5.25571206543089e-05,0.0706895426220672,0.047853751525268405,0.02657680149040278,0.013304024362261599,0,0.053194178999999994,0.0346985197840909,0.00062016,0,0.0336772975,0.19726059999999998,0,0,0,0,0,0,0,0,0,0,0,0.004852319999999999,0.3681624420925723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/02/2023 01:00,39.52250376132695,1.6699378609056001,16.177227651855468,5.233859389905504,8.430263351368074,6.175103757306766,3.1365723595422024,0.24950041704000003,1.7391730333907576,0,3.2450103112641955,0.09055812884929058,0.06011529632316963,0.06799230848758091,0.004156648882127184,0.00978257814727571,0.019115412863108975,0.11689567462041414,0.03802228937108032,0.653865480291748,0,0,0.0446455899543762,0.06405839999999999,0.0023584200000000004,0.005438547435367975,0.0484902056,0.02046528,0.1329144396,2.7463606293258533,1.6787517530341984,0,4.548790854226589,0,0,0.65176427301,0.098024236,0.396816720108,0.05593439696039999,0.016630890000000002,0.27876762033498,0.16733165999999997,0.06136687956,0.19177278499999997,0.1990560893078215,0.1285750728,0,0.007273948074671534,0.050854049146794034,0.02556648116883717,0.15634561938597127,0.09093834839049246,0.08040300266658283,0.005559434479987924,0.013084001992323416,0.12111968035902311,0.043400559913126704,0.023225872849431915,0.015716825749094086,0.00532152727546451,0.0015237605324073338,0.0013162298122286146,0.01002593490400564,0.0024568731965695528,0.0023094643536423105,0.3108995829825709,5.2454755535675984e-05,0.06859026861772168,0.0473257017894012,0.026465221848655723,0.013250857744221392,0,0.05368814699999999,0.03632916060454545,0.00124032,0,0.032905472500000005,0.18980252799999997,0,0,0,0,0,0,0,0,0,0,0,0.0047512299999999995,0.36747244972323206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/02/2023 01:15,42.25387517746901,2.6734978684368,16.345161584960934,5.194217108773763,8.195889819774788,5.886332038155486,3.090041434457666,0.26161309288800005,1.7670934628652828,0,3.2549660500538167,0.08494249647992337,0.057180229652905555,0.06609753449971593,0.004042271097695467,0.009534581852460202,0.01866607008975838,0.1148704173267388,0.03667557310302772,0.6621893566467285,0,0,0.04470824420547485,0.06304159999999999,0.00246096,0.0052569059840993256,0.0483086817,0.018697824000000002,0.13379817922499998,2.7730953699874816,1.713881186746815,0,4.409632848579504,0,0,0.60067550532,0.105808185,0.3882103156440001,0.05228789940359999,0.0110447475,0.278859714698736,0.16609674,0.06016499366999999,0.19753574499999996,0.20115071609736526,0.12455859600000001,0.09665424438030006,0.007031006278091115,0.04905284315906558,0.024965494225186482,0.15363687839085896,0.08840412619885765,0.07647740988488533,0.00540645648820987,0.012752311923856284,0.1136088847381961,0.041683876658066145,0.022835423071342276,0.0153316899766987,0.005208939278085528,0.0014713894483059664,0.0013152902333847874,0.009501027774357471,0.0022784023645519083,0.002289664497729544,0.304638376070423,5.171958984421405e-05,0.06795276998145014,0.04814673514811542,0.026715203796359607,0.01354121107407482,0,0.05368814699999999,0.036101629327272726,0.00062016,0,0.033239929999999994,0.21124718719999996,0,0,0,0,0,0,0,0,0,0,0,0.0047512299999999995,0.40042552975775775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/02/2023 01:30,51.54833114122029,3.5429071623440005,16.40172141113281,5.176855643652409,8.041926696421225,5.739912637873511,3.0786664012851936,0.26202720146400005,1.8590295160305046,0,3.259933565626056,0.08107855418099706,0.05560543815375252,0.06463941616205755,0.0038798101136362268,0.009427524316085914,0.0182193127536886,0.11299999244916824,0.03532487724926631,0.6576856622985839,0,0,0.04379931395988465,0.050839999999999996,0.00246096,0.005163853615765047,0.048907000699999995,0.019162944,0.13203069997499997,2.8148985318599467,1.7512471846068736,0,4.294492147632002,0,0,0.5701646071650001,0.074395028,0.36999854905499996,0.051460587233999995,0.014462752500000002,0.280419746770371,0.16661129,0.04397488374,0.2047909,0.21141078193709836,0.15343897680000004,0.2602548406746001,0.006906550602465852,0.04724631455529881,0.024367965252024122,0.15113522264569734,0.08645392217822548,0.07437115785170834,0.005189168181681198,0.012609124616980081,0.10844093944031431,0.040528685149657115,0.02377671678449946,0.013721913491374398,0.00494790246031631,0.0012903677088123016,0.0012330783191354764,0.008542733875535446,0.0028137162451598546,0.0022813371613769336,0.2989345388954409,5.1639513026980264e-05,0.06695431205957851,0.048362223608965235,0.026429533463067797,0.013575750868388428,0,0.053132433,0.03568448865227272,0.00124032,0,0.03272537999999999,0.21252262559999996,0,0,0,0,0,0,0,0,0,0,0,0.004852319999999999,0.4092024432845213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/02/2023 01:45,50.75507734559973,2.9311249972512003,16.37107173095703,5.134152155521918,8.00274735536238,5.6324755888696,3.1111212808837756,0.262337782896,1.9692040798184498,0,3.2680333013316627,0.07711518507875713,0.054460689209797304,0.06345422377852197,0.00388757459291335,0.009245146452048223,0.01810446249709987,0.1109568552629844,0.03465897562099812,0.6452923687805175,0,0,0.04371570822143554,0.0498232,0.0023584200000000004,0.005086945956086348,0.0491777654,0.018651312,0.13238419582499997,2.809878022209339,1.757411901558824,0,4.333312425290392,0,0,0.5392141127550001,0.096393499,0.3826776270600001,0.051411723073199994,0.0140546325,0.2792794197920955,0.16650837999999998,0.020149263449999996,0.205048175,0.22043248758791867,0.16027655040000002,0.19588688889059988,0.006803688150736679,0.04635568448827719,0.024214355338215844,0.14840256765310075,0.08486875114519013,0.07284007910764624,0.005199553016926243,0.0123651978830966,0.10314001278792037,0.03959360372336122,0.024363115371610768,0.012790150917129638,0.005227497286661261,0.001087298055118171,0.0012764406996437672,0.00803488229698148,0.003079102474613302,0.0022426506823424075,0.28883367128552595,5.1074268426287524e-05,0.06703469896552249,0.04953441595836073,0.027055915475280187,0.014075219600836616,0,0.053271361499999996,0.036746301279545444,0.00062016,0,0.032262285,0.20826395839999998,0,0,0,0,0,0,0,0,0,0,0,0.0047512299999999995,0.4068072975343585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/02/2023 02:00,52.18815812338558,3.5290962834672004,16.31773342285156,5.116536629555457,7.872810446006515,5.513045466455575,3.095996140203884,0.259490786436,1.991292671694295,0,3.3130463425993226,0.07414582172630112,0.05322024518758873,0.06262937741095279,0.003827342190068266,0.009079377726906427,0.01790460082346554,0.10943469581598,0.03408928973014946,0.6497794181396483,0,0,0.0445368125957489,0.06405839999999999,0.00246096,0.004980532099022289,0.048024733699999995,0.018279216000000004,0.13238419582499997,2.8268756663463264,1.748653149609719,0,4.2661841160271035,0,0,0.520952069145,0.073242089,0.38782610115900007,0.05307318926279999,0.011197792500000001,0.250922758535844,0.16517055,0.02396701863,0.2037618,0.2125099655659813,0.15874646400000003,0.2847490154453999,0.006661361752022991,0.04559374103956187,0.023947044359795607,0.14636670993365225,0.08376553567845334,0.07118101011646599,0.005118993386636249,0.012143485539237211,0.09916854888192685,0.03877828369816779,0.024220478969688434,0.012468522413368622,0.0052355225320853405,0.001013320322465388,0.0011411781389490826,0.007774132869918556,0.003050218879017928,0.00219259245232593,0.2821461567288934,5.160201034796591e-05,0.0642948355398928,0.04875057660278086,0.026535031945462216,0.013879995911864135,0,0.05107937850000001,0.034641636964772723,0.00124032,0,0.0325967425,0.2070317552,0,0,0,0,0,0,0,0,0,0,0,0.004852319999999999,0.40590581329979575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/02/2023 02:15,48.918397848853,3.6388431244048003,16.209581823242186,4.828749401451417,7.740493374667633,5.470008385494242,3.122781676008725,0.25969784072400004,2.0135720521978655,0,3.2757612349411365,0.07148915553235294,0.051948949744331036,0.06121055877291244,0.0038540487008796127,0.008970619707526602,0.017834479503952543,0.1080656780968512,0.0335601702368666,0.6514799079040526,0,0,0.04362268471679687,0.07219279999999999,0.0023584200000000004,0.004931219609345531,0.048024733699999995,0.018232704000000002,0.12902598525,2.8812345262299606,1.7725916669703838,0,4.234969357076064,0,0,0.60110862267,0.06897441500000001,0.3821397267810001,0.0521696238336,0.0171665475,0.24245821392184505,0.16568509999999997,0.019159475069999998,0.202372515,0.22447606299651285,0.1533433464,0.2645725584582001,0.006595407286496251,0.044886054333658276,0.023853258501875536,0.14453567620257027,0.08186789421754302,0.0694806779686418,0.005154712809001506,0.01199802387045994,0.09561531115141748,0.038032697266360986,0.02388716199597278,0.012391315832661908,0.005226829094268703,0.0009511950859909333,0.0010809490088380656,0.007567193147804038,0.0029661233561624634,0.002163184442404873,0.2817257579085525,5.288358767841588e-05,0.06613235727194328,0.050707166520064545,0.027801431236004044,0.01471385497198814,0,0.047482673999999996,0.03147516002272727,0.00062016,0,0.03218510249999999,0.20811263519999998,0,0,0,0,0,0,0,0,0,0,0,0.0047512299999999995,0.4064900596781106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
