Unnamed: 0,EG00062CLP,CB00024CLP,CB00067CLP,CB00027CLP,CB00041CLP,CB00042CLP,CB00049CLP,CB00044CLP,CB00066CLP,CB00011CLP,CB00141CLP,CL00104CLP,CL00107CLP,CL00108CLP,CL00106CLP,CL00105CLP,CL00111CLP,CL00110CLP,CL00112CLP,CB00142CLP,CB00145CLP,CB00147CLP,CB00149CLP,CB00150CLP,CB00151CLP,CL00114CLP,CB00153CLP,CB00152CLP,CB00154CLP,CB00155CLP,CB00159CLP,CB00160CLP,CB00157CLP,CB00158CLP,CB00156CLP,CB00161CLP,CB00162CLP,CB00165CLP,CB00163CLP,CB00166CLP,CB00167CLP,CB00168CLP,CB00170CLP,CB00171CLP,CB00172CLP,CB00173CLP,CB00174CLP,CL00119CLP,CL00123CLP,CL00118CLP,CL00115CLP,CL00122CLP,CL00121CLP,CL00120CLP,CL00117CLP,CL00116CLP,CL00131CLP,CL00132CLP,CL00129CLP,CL00128CLP,CL00124CLP,CL00125CLP,CL00130CLP,CL00127CLP,CL00126CLP,CB00175CLP,CL00133CLP,CB00176CLP,CB00178CLP,CB00179CLP,CB00177CLP,CB00180CLP,CB00181CLP,CB00183CLP,CB00182CLP,CB00184CLP,CB00185CLP,CB00186CLP,CB00187CLP,CB00188CLP,CB00196CLP,CB00190CLP,CB00191CLP,CB00192CLP,CB00194CLP,CB00193CLP,CB00195CLP,CB00189CLP,CB00197CLP,CB00198CLP,CB00199CLP,CB00200CLP,CB00210CLP,CB00205CLP,CB00203CLP,CB00213CLP,CB00209CLP,CB00212CLP,CB00202CLP,CB00204CLP,CB00214CLP,CB00207CLP,CB00208CLP,CB00201CLP,CB00211CLP,CB00206CLP,CB00217CLP,CB00216CLP,CB00218CLP,CB00219CLP,CB00215CLP
VERSION DE DECLARACION,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
01/08/2023 00:15,26.844803647915477,0,0,6.3032308078903085,7.717560610773479,8.229714810907772,2.764031794770793,0.137018175084,2.3829666617736818,0.04682597541912266,3.258234185094441,0.11256472588023829,0.04509815928943701,0.057859424418054306,0.0014696839157848525,0.00806880772715887,0.016599294614174854,0.12102435374938357,0.03960731055504897,0.3069423909912109,0,0,0,0.0155062,0.00266604,0.005591499818070721,0.0605610379,0.024232752,0.036940316325,1.1761934348465672,1.9821137426090383,0,2.575276927145392,0,0,0.40923692241,0.24203714638,0.37261120755300003,0.044362733637599995,0.2196450825,0.20059790364074248,0.17504990999999998,0,0,0.2186992334884325,0.3004229016,0.797193570156,0.007478701576477675,0.052975277747624006,0.022201766044638856,0.16187160057710637,0.07738771039765428,0.060319357229367966,0.0019657207861085977,0.010792132170759743,0.1505567415339345,0.03861216424004519,0.027274528859261862,0.016031154843435265,0.003836019113370507,0.002027630929023196,0.0014269773679389496,0.0075100571869812244,0.004491545674786161,0.002202940835284864,0.26416540115900006,5.340957200210796e-05,0,0,0,0,0,0.052514973,0.029332573828409085,0.00124032,0,0.022948929999999996,0.0668416192,0,0,0,0,0,0,0,0,0,0,0,0.0048523199999999985,0.4960542316994286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0608249365416,4.867006003856001,5.0188733813159985,0.18675775030822755,0.042207404489999996
01/08/2023 00:30,22.798581635405778,0,0,6.2820145122545235,7.487042796980281,7.925911324276046,2.721277633525596,0.13955459011200003,2.4165832584533686,0.04745584819587422,3.4173266115275216,0.10566022100891966,0.04345523174177015,0.05533588176490535,0.0014118207990430358,0.00780755017975196,0.0157894053644763,0.11748632275455868,0.037623153051024094,0.3009586430633545,0,0,0,0.0155062,0.00266604,0.005440005106038264,0.0672713376,0.022837392,0.038000803875,1.2547263634553343,1.9786213025385777,0,2.6123793883749027,0,0,0.41240403564,0.26995966626000006,0.38329237023600005,0.04370286495959999,0.23048577,0.20091762758497203,0.17731393,0,0,0.21444840783411484,0.319644612,0.6929941868696999,0.007276075487133351,0.050321442044120264,0.021118528951628843,0.1571394394683623,0.07401244024966643,0.05812192089912516,0.0018883281371813107,0.010442696903795378,0.141321879127421,0.036897565844989426,0.02685806303428448,0.015446475222910294,0.003875748287489355,0.0017867875364009102,0.001382073751184552,0.00698311191555419,0.004357403030801957,0.0021528602142743733,0.265601599548943,5.2283854978536706e-05,0,0,0,0,0,0.054089495999999994,0.02872582375568181,0.00062016,0,0.0228202925,0.06223707039999999,0,0,0,0,0,0,0,0,0,0,0,0.00495341,0.49745800906500454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06048263428199999,4.9324873701008,6.003525703784999,0.19012410511932373,0.02813826966
01/08/2023 00:45,25.138248313922972,0,0,6.201881623098377,7.273726911893664,7.706206448060983,2.697254382043422,0.13474057791599997,2.418343167687988,0.04791905539117861,3.352492036657642,0.10107639872163898,0.041537613534877435,0.05320972233596677,0.0012918638612150095,0.0075521050922409995,0.015331568092408147,0.114514242646344,0.036005151189304266,0.3218897481536865,0,0,0,0.0156333,0.00287112,0.005259452809405262,0.0641357404,0.021209472,0.04100551859999999,1.2463631220609532,1.958578558517043,0,2.6917830792927635,0,0,0.41362329413999993,0.27588596922499997,0.38121761201700005,0.0427950985392,0.22382831250000004,0.199725838165182,0.17628483,0,0,0.21274060992887783,0.30883837680000004,0.6811214914271999,0.00703458451165268,0.048157344133416394,0.020506165821915334,0.1531642448132738,0.07116867517939726,0.05555708234532205,0.0017278842188707785,0.01010103587530037,0.13519095896618102,0.03546024874383734,0.026562581921641532,0.014841349790818996,0.0038517578384899254,0.0015575215589929226,0.0013733523079933981,0.006514197410301805,0.004042646385740798,0.002071355030758347,0.2587445638220804,5.27646641366488e-05,0,0,0,0,0,0.053873384999999996,0.030166855178409082,0.00124032,0,0.023180477499999994,0.05940516479999999,0,0,0,0,0,0,0,0,0,0,0,0.00495341,0.49062682092686555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059870948885999996,4.941177236496,6.022859758978999,0.18334769454956046,0.01604871159
01/08/2023 01:00,27.577612303209982,0,0,6.346120353895487,7.1032444432426365,7.522102517470175,2.6119878664781027,0.13142770930800005,2.422422697467041,0.045984013448168555,3.334308584271894,0.0963053946784148,0.04022566951828341,0.051376449927466546,0.0012049076469997705,0.007324605841660486,0.015257330913970673,0.1117235701375764,0.03457956333245811,0.3932753951873779,0,0,0,0.015569241600035037,0.0027685800000000005,0.005073660255410951,0.0500995823,0.019442016,0.04878242729999999,1.2588543196385584,1.9314214358984307,0,2.831957558279205,0,0,0.39464744865,0.27550044886999997,0.36246794514900005,0.04323551657039999,0.2192879775,0.1993233662336205,0.17463826999999998,0,0,0.21574396295216097,0.2868433848,0.7113613305624001,0.0067860846258144475,0.04625060238267062,0.02040687265881457,0.1494316851119745,0.06871665019546472,0.053802340665202036,0.001611579184891465,0.009796752756401685,0.12880968084396274,0.034180529122090804,0.02655027678990885,0.014052186119007909,0.0036837342343721945,0.0015230592155555396,0.0013492287969183341,0.006034260037049415,0.003943702476762333,0.0020224107999615003,0.257298475889722,5.208298275047301e-05,0,0,0,0,0,0.05404318650000001,0.029256730069318174,0.00062016,0,0.023103294999999996,0.059664576,0,0,0,0,0,0,0,0,0,0,0,0.0048523199999999985,0.49457114468438873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05972289649199999,4.8984996985856,5.997755857371999,0.18313908258819575,0.02170464519
01/08/2023 01:15,23.263218487734317,0,0,6.278061935094106,6.949947182183872,7.459805166611069,2.5740758786156026,0.13246298074800003,2.4041571774475097,0.04795545275860245,3.335250294008247,0.0899722667028745,0.03938940110770054,0.04963113898736885,0.0012565982129221758,0.006966773633743514,0.014472198484300343,0.10850684909054932,0.0329711774915292,0.41532089799499505,0,0,0,0.01544315839996496,0.0027685800000000005,0.004970007333911833,0.0500995823,0.017023392000000002,0.05054990654999999,1.2674454926655763,1.936067231400306,0,2.8819017294207243,0,0,0.40720519902,0.25106674943,0.3610079301060001,0.0406798106148,0.21510474749999997,0.19915226482133103,0.17525573,0,0,0.21777854730309085,0.2856480048000001,0.7306546158696,0.00664744753511533,0.04409936602113754,0.01935674812504588,0.1451292801136335,0.06638227478567423,0.05268382111158028,0.00168071596919459,0.00931814766214515,0.12033904224684835,0.03316448930320619,0.02650096430737322,0.013400864925943837,0.003548614694599589,0.001474986954614267,0.0013461228464572217,0.005559109693081121,0.0041127569974161934,0.0019922186971839846,0.2549215670137661,5.120371579005313e-05,0,0,0,0,0,0.05569489199999999,0.027853620526136356,0.00124032,0,0.022768837499999996,0.059253841599999996,0,0,0,0,0,0,0,0,0,0,0,0.00495341,0.4839701131794293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058430403586799996,4.8990570280832,6.049582826616999,0.18460801857147216,0.04927732148999999
01/08/2023 01:30,22.438154547568992,0,0,6.285327822471844,6.7692832930055555,7.302064480995856,2.5598396479468937,0.13686288436800004,2.3117062604309084,0.048129991944568074,3.4409495833689165,0.08997709881157398,0.03768051135119661,0.04866208854533879,0.001219329831890615,0.006881094874029072,0.014441954983653908,0.10695487703254926,0.032371762686337915,0.44923160848999016,0,0,0,0.015442141600035037,0.0027685800000000005,0.0048696503433900305,0.0489891428,0.017628048,0.05567559637499999,1.2587464970481053,1.9288840567060357,0,2.8128802021193597,0,0,0.38376176592,0.2706871618900001,0.35908685768099996,0.038782320217199996,0.217987095,0.192270848263344,0.16928695,0,0,0.21560972254997465,0.2946372624,0.7088783346041999,0.0065132187936960155,0.04329764115403473,0.019316297061230808,0.14305349789876096,0.06508615758916197,0.05039815949451486,0.001630869039204047,0.009203551239683288,0.1203455052532195,0.0320896590834981,0.026265005252032767,0.013011712016602013,0.003480300748627559,0.0013338826490154518,0.001338885318463585,0.005299124343397377,0.004123656568794089,0.001940666554489887,0.2493041337917842,5.1039894598177584e-05,0,0,0,0,0,0.058720445999999996,0.027436479851136356,0.00124032,0,0.022871747499999998,0.05897281279999999,0,0,0,0,0,0,0,0,0,0,0,0.0047512299999999995,0.48302633068865053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05985927889199999,4.7858519680512,6.222684395267999,0.1900634137207031,0.04496467211999999
01/08/2023 01:45,24.456165320899174,0,0,6.323578968614133,6.647742842487843,6.703580769790482,2.522186687343378,0.133705306476,2.2575853613037102,0.048777608843197554,3.405863082116424,0.08877348281075548,0.03637182242740819,0.047721758316520826,0.0012309000345947113,0.00669036671283472,0.013983524633866937,0.10487226193922125,0.03140470717297636,0.4701504339752197,0,0,0,0.01544315839996496,0.0027685800000000005,0.004802772937307474,0.0509514263,0.017023392000000002,0.055145352599999996,1.240440333290358,1.9353280053914863,0,2.8488467950530056,0,0,0.39199160775,0.27141228248,0.37299542203800007,0.043705017115199994,0.21359980499999998,0.16637010027264304,0.16846366999999998,0,0,0.21804158305087243,0.3032439984,0.7117484262606001,0.006423769419006968,0.04200419219979441,0.0187031406825832,0.14026797392694,0.06382845404029608,0.04864777154210456,0.0016463443313472462,0.008948449916923154,0.11873565366139724,0.03100560845619369,0.026101210445604196,0.012854954037369047,0.003443090817292798,0.001233731389799325,0.001330122871254808,0.005098639477389899,0.004035870876270077,0.001913433728178749,0.21561692171712,5.040505891189075e-05,0,0,0,0,0,0.05856608099999999,0.026526354742045448,0.00062016,0,0.022691654999999998,0.05860531359999999,0,0,0,0,0,0,0,0,0,0,0,0.004852319999999999,0.48165427701015706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06170065929719999,4.634773824412799,5.941733693485999,0.1855952705566406,0.058114717739999995
01/08/2023 02:00,17.255051307078144,0,0,6.370657784609551,6.57269052474253,6.884786493292733,2.5097448456848594,0.13613819436000002,2.236061129302979,0.04460926764063047,3.38220750346112,0.08020576289087633,0.035170899056275136,0.046038477196300887,0.0012017365979937141,0.006629833096072155,0.013854491074655265,0.10386147648692472,0.030550490808569405,0.48275835363464353,0,0,0,0.0153791,0.0029736600000000004,0.00475880688465354,0.047953746699999994,0.017302464,0.05426161297499999,1.2136537139380152,1.9333248112324775,0,2.8973338899597736,0,0,0.3508379092800001,0.24608289757500001,0.363620588604,0.044286231376799996,0.2083707675,0.16131061983518402,0.16887530999999997,0,0,0.21390302125282873,0.31366771200000004,0.7312736206563002,0.006364964268690799,0.04086166703141346,0.018530556668616832,0.13891603562746258,0.06157704429746476,0.04704152137647001,0.0016073378668243453,0.00886748544051398,0.10727622013614893,0.030271009307241636,0.026016589054098933,0.012692693438740181,0.0033649626566861347,0.0010758142424738275,0.0013135921274474054,0.005048480496557119,0.0038242469071519195,0.0018970025351057473,0.21972460365602586,5.13919039286243e-05,0,0,0,0,0,0.0567291375,0.026678042260227266,0.00124032,0,0.022125649999999997,0.0613291312,0,0,0,0,0,0,0,0,0,0,0,0.0047512299999999995,0.48109911074394485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06181364281679999,4.5453737772160006,5.807312105557,0.18240371953582765,0.06080128619999999
01/08/2023 02:15,17.693532438625414,0,0,6.003311491832728,6.503417276085398,7.046631144956129,2.457379068000496,0.137328756516,2.244214410223388,0.04989882922122363,3.345365205893371,0.08049609681284493,0.03423715041734586,0.04579994780016088,0.0012219865626481037,0.006451961755405644,0.013863152649991679,0.10239789369097843,0.030449275144718194,0.49773573458862297,0,0,0,0.0153791,0.00287112,0.00471267299947688,0.047953746699999994,0.01790712,0.053377873349999994,1.20700475612216,1.9099407085789242,0,2.91106671999662,0,0,0.35127429158999995,0.24162640195000004,0.35877948609300003,0.043958768968799994,0.20411101499999998,0.15834287426977953,0.17618191999999996,0,0,0.21731288769192106,0.3272472288,0.7292870751299997,0.006303259615015469,0.04072628980357882,0.018542141634946236,0.13695847516613974,0.0612580082196698,0.04579262078714588,0.0016344224501225442,0.008629580277474591,0.10766454542105984,0.029628358647383043,0.026041394184209116,0.012387253154181398,0.0034773146726925154,0.0011241657208609249,0.0013101302927054348,0.004898363507892209,0.003781456356103151,0.001875119773446626,0.22365105722796869,5.117508816464766e-05,0,0,0,0,0,0.05492306699999999,0.025862721849999992,0.00062016,0,0.022511562499999995,0.061588542399999995,0,0,0,0,0,0,0,0,0,0,0,0.0047512299999999995,0.4835418421034635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0645158637648,4.4713024178912,5.733126672369999,0.18303932257385255,0.052175987459999996
